Time (s) Run #1	Position (m) Run #1
0,0000	0,2056
0,0500	0,2322
0,1000	0,2675
0,1500	0,3118
0,2000	0,3600
0,2500	0,4102
0,3000	0,4628
0,3500	0,5152
0,4000	0,5654
0,4500	0,6117
0,5000	0,6528
0,5500	0,6890
0,6000	0,7163
0,6500	0,7352
0,7000	0,7452
0,7500	0,7473
0,8000	0,7451
0,8500	0,7246
0,9000	0,7005
0,9500	0,6686
1,0000	0,6284
1,0500	0,5839
1,1000	0,5350
1,1500	0,4834
1,2000	0,4307
1,2500	0,3814
1,3000	0,3309
1,3500	0,2853
1,4000	0,2459
1,4500	0,2139
1,5000	0,1914
1,5500	0,1781
1,6000	0,1737
1,6500	0,1779
1,7000	0,1908
1,7500	0,2129
1,8000	0,2447
1,8500	0,2829
1,9000	0,3291
1,9500	0,3780
2,0000	0,4287
2,0500	0,4812
2,1000	0,5326
2,1500	0,5812
2,2000	0,6255
2,2500	0,6645
2,3000	0,6980
2,3500	0,7225
2,4000	0,7379
2,4500	0,7450
2,5000	0,7444
2,5500	0,7342
2,6000	0,7156
2,6500	0,6889
2,7000	0,6531
2,7500	0,6122
2,8000	0,5665
2,8500	0,5167
2,9000	0,4649
2,9500	0,4126
3,0000	0,3629
3,0500	0,3152
3,1000	0,2711
3,1500	0,2355
3,2000	0,2063
3,2500	0,1874
3,3000	0,1772
3,3500	0,1761
3,4000	0,1834
3,4500	0,1992
3,5000	0,2261
3,5500	0,2586
3,6000	0,3007
3,6500	0,3466
3,7000	0,3960
3,7500	0,4472
3,8000	0,4992
3,8500	0,5496
3,9000	0,5967
3,9500	0,6391
4,0000	0,6767
4,0500	0,7062
4,1000	0,7274
4,1500	0,7403
4,2000	0,7439
4,2500	0,7449
4,3000	0,7269
4,3500	0,7056
4,4000	0,6759
4,4500	0,6381
4,5000	0,5957
4,5500	0,5486
4,6000	0,4982
4,6500	0,4463
4,7000	0,3954
4,7500	0,3461
4,8000	0,3003
4,8500	0,2588
4,9000	0,2265
4,9500	0,2002
5,0000	0,1843
5,0500	0,1773
5,1000	0,1793
5,1500	0,1897
5,2000	0,2088
5,2500	0,2377
5,3000	0,2733
5,3500	0,3171
5,4000	0,3646
5,4500	0,4141
5,5000	0,4659
5,5500	0,5173
5,6000	0,5663
5,6500	0,6116
5,7000	0,6518
5,7500	0,6870
5,8000	0,7132
5,8500	0,7313
5,9000	0,7408
5,9500	0,7416
6,0000	0,7348
6,0500	0,7186
6,1000	0,6945
6,1500	0,6624
6,2000	0,6225
6,2500	0,5785
6,3000	0,5303
6,3500	0,4794
6,4000	0,4278
6,4500	0,3783
6,5000	0,3301
6,5500	0,2846
6,6000	0,2476
6,6500	0,2175
6,7000	0,1950
6,7500	0,1827
6,8000	0,1788
6,8500	0,1835
6,9000	0,1972
6,9500	0,2208
7,0000	0,2512
7,0500	0,2904
7,1000	0,3350
7,1500	0,3833
7,2000	0,4332
7,2500	0,4845
7,3000	0,5350
7,3500	0,5825
7,4000	0,6257
7,4500	0,6634
7,5000	0,6960
7,5500	0,7192
7,6000	0,7342
7,6500	0,7407
7,7000	0,7385
7,7500	0,7282
7,8000	0,7092
7,8500	0,6824
7,9000	0,6465
7,9500	0,6062
8,0000	0,5606
8,0500	0,5115
8,1000	0,4606
8,1500	0,4093
8,2000	0,3606
8,2500	0,3145
8,3000	0,2714
8,3500	0,2372
8,4000	0,2106
8,4500	0,1910
8,5000	0,1818
8,5500	0,1810
8,6000	0,1892
8,6500	0,2056
8,7000	0,2326
8,7500	0,2654
8,8000	0,3072
8,8500	0,3528
8,9000	0,4013
8,9500	0,4519
9,0000	0,5029
9,0500	0,5522
9,1000	0,5982
9,1500	0,6392
9,2000	0,6757
9,2500	0,7040
9,3000	0,7241
9,3500	0,7372
9,4000	0,7418
9,4500	0,7345
9,5000	0,7206
9,5500	0,6988
9,6000	0,6692
9,6500	0,6314
9,7000	0,5893
9,7500	0,5423
9,8000	0,4927
9,8500	0,4418
9,9000	0,3920
9,9500	0,3439
10,0000	0,2989
10,0500	0,2592
10,1000	0,2279
10,1500	0,2030
10,2000	0,1882
10,2500	0,1823
10,3000	0,1846
10,3500	0,1958
10,4000	0,2171
10,4500	0,2451
10,5000	0,2805
10,5500	0,3245
10,6000	0,3713
10,6500	0,4200
10,7000	0,4709
10,7500	0,5211
