Time (s) Run #2	Position (m) Run #2
0,0000	0,5624
0,0500	0,5214
0,1000	0,4787
0,1500	0,4350
0,2000	0,3933
0,2500	0,3523
0,3000	0,3152
0,3500	0,2815
0,4000	0,2557
0,4500	0,2372
0,5000	0,2261
0,5500	0,2225
0,6000	0,2267
0,6500	0,2383
0,7000	0,2576
0,7500	0,2836
0,8000	0,3178
0,8500	0,3554
0,9000	0,3958
0,9500	0,4384
1,0000	0,4818
1,0500	0,5246
1,1000	0,5648
1,1500	0,6016
1,2000	0,6335
1,2500	0,6598
1,3000	0,6813
1,3500	0,6942
1,4000	0,6994
1,4500	0,6975
1,5000	0,6880
1,5500	0,6714
1,6000	0,6466
1,6500	0,6174
1,7000	0,5825
1,7500	0,5435
1,8000	0,5018
1,8500	0,4585
1,9000	0,4153
1,9500	0,3748
2,0000	0,3354
2,0500	0,3007
2,1000	0,2697
2,1500	0,2476
2,2000	0,2323
2,2500	0,2245
2,3000	0,2244
2,3500	0,2325
2,4000	0,2474
2,4500	0,2699
2,5000	0,3009
2,5500	0,3355
2,6000	0,3744
2,6500	0,4152
2,7000	0,4584
2,7500	0,5015
2,8000	0,5430
2,8500	0,5816
2,9000	0,6161
2,9500	0,6453
3,0000	0,6691
3,0500	0,6868
3,1000	0,6962
3,1500	0,6982
3,2000	0,6928
3,2500	0,6801
3,3000	0,6591
3,3500	0,6328
3,4000	0,6009
3,4500	0,5643
3,5000	0,5243
3,5500	0,4819
3,6000	0,4386
3,6500	0,3969
3,7000	0,3566
3,7500	0,3197
3,8000	0,2858
3,8500	0,2598
3,9000	0,2406
3,9500	0,2292
4,0000	0,2248
4,0500	0,2284
4,1000	0,2399
4,1500	0,2581
4,2000	0,2834
4,2500	0,3168
4,3000	0,3537
4,3500	0,3934
4,4000	0,4353
4,4500	0,4784
4,5000	0,5208
4,5500	0,5609
4,6000	0,5976
4,6500	0,6298
4,7000	0,6561
4,7500	0,6773
4,8000	0,6910
4,8500	0,6970
4,9000	0,6956
4,9500	0,6868
5,0000	0,6707
5,0500	0,6470
5,1000	0,6180
5,1500	0,5839
5,2000	0,5457
5,2500	0,5045
5,3000	0,4619
5,3500	0,4189
5,4000	0,3786
5,4500	0,3397
5,5000	0,3050
5,5500	0,2740
5,6000	0,2512
5,6500	0,2356
5,7000	0,2274
5,7500	0,2269
5,8000	0,2339
5,8500	0,2486
5,9000	0,2703
5,9500	0,3004
6,0000	0,3343
6,0500	0,3725
6,1000	0,4128
6,1500	0,4555
6,2000	0,4981
6,2500	0,5394
6,3000	0,5780
6,3500	0,6123
6,4000	0,6419
6,4500	0,6658
6,5000	0,6838
6,5500	0,6936
6,6000	0,6961
6,6500	0,6913
6,7000	0,6790
6,7500	0,6589
6,8000	0,6331
6,8500	0,6019
6,9000	0,5662
6,9500	0,5266
7,0000	0,4847
7,0500	0,4421
7,1000	0,4003
7,1500	0,3604
7,2000	0,3238
7,2500	0,2915
7,3000	0,2636
7,3500	0,2442
7,4000	0,2321
7,4500	0,2275
7,5000	0,2305
7,5500	0,2409
7,6000	0,2588
7,6500	0,2834
7,7000	0,3165
7,7500	0,3523
7,8000	0,3917
7,8500	0,4327
7,9000	0,4755
7,9500	0,5174
8,0000	0,5575
8,0500	0,5940
8,1000	0,6262
8,1500	0,6526
8,2000	0,6735
8,2500	0,6883
8,3000	0,6946
8,3500	0,6937
8,4000	0,6854
8,4500	0,6691
8,5000	0,6466
8,5500	0,6183
8,6000	0,5850
8,6500	0,5476
8,7000	0,5069
8,7500	0,4647
8,8000	0,4222
8,8500	0,3825
8,9000	0,3433
8,9500	0,3088
9,0000	0,2776
9,0500	0,2546
9,1000	0,2387
9,1500	0,2301
9,2000	0,2294
9,2500	0,2358
9,3000	0,2498
9,3500	0,2706
9,4000	0,3002
9,4500	0,3335
9,5000	0,3710
9,5500	0,4108
9,6000	0,4530
9,6500	0,4952
9,7000	0,5363
9,7500	0,5745
9,8000	0,6090
9,8500	0,6386
9,9000	0,6624
9,9500	0,6809
10,0000	0,6912
