Time (s) Run #6	Position (m) Run #6
0,0000	0,5464
0,0500	0,5263
0,1000	0,5041
0,1500	0,4806
0,2000	0,4564
0,2500	0,4325
0,3000	0,4095
0,3500	0,3907
0,4000	0,3706
0,4500	0,3551
0,5000	0,3433
0,5500	0,3355
0,6000	0,3321
0,6500	0,3332
0,7000	0,3386
0,7500	0,3484
0,8000	0,3619
0,8500	0,3792
0,9000	0,3985
0,9500	0,4201
1,0000	0,4437
1,0500	0,4679
1,1000	0,4918
1,1500	0,5147
1,2000	0,5359
1,2500	0,5545
1,3000	0,5703
1,3500	0,5823
1,4000	0,5907
1,4500	0,5948
1,5000	0,5944
1,5500	0,5899
1,6000	0,5814
1,6500	0,5688
1,7000	0,5529
1,7500	0,5339
1,8000	0,5126
1,8500	0,4895
1,9000	0,4656
1,9500	0,4414
2,0000	0,4181
2,0500	0,3969
2,1000	0,3779
2,1500	0,3610
2,2000	0,3476
2,2500	0,3382
2,3000	0,3333
2,3500	0,3327
2,4000	0,3366
2,4500	0,3446
2,5000	0,3567
2,5500	0,3727
2,6000	0,3913
2,6500	0,4119
2,7000	0,4349
2,7500	0,4588
2,8000	0,4828
2,8500	0,5061
2,9000	0,5280
2,9500	0,5476
3,0000	0,5644
3,0500	0,5779
3,1000	0,5877
3,1500	0,5932
3,2000	0,5947
3,2500	0,5918
3,3000	0,5847
3,3500	0,5736
3,4000	0,5589
3,4500	0,5411
3,5000	0,5206
3,5500	0,4983
3,6000	0,4747
3,6500	0,4506
3,7000	0,4269
3,7500	0,4046
3,8000	0,3857
3,8500	0,3672
3,9000	0,3526
3,9500	0,3419
4,0000	0,3353
4,0500	0,3329
4,1000	0,3351
4,1500	0,3416
4,2000	0,3521
4,2500	0,3667
4,3000	0,3845
4,3500	0,4040
4,4000	0,4263
4,4500	0,4498
4,5000	0,4737
4,5500	0,4973
4,6000	0,5197
4,6500	0,5402
4,7000	0,5580
4,7500	0,5729
4,8000	0,5840
4,8500	0,5912
4,9000	0,5941
4,9500	0,5929
5,0000	0,5874
5,0500	0,5779
5,1000	0,5645
5,1500	0,5479
5,2000	0,5284
5,2500	0,5067
5,3000	0,4836
5,3500	0,4597
5,4000	0,4359
5,4500	0,4129
5,5000	0,3926
5,5500	0,3739
5,6000	0,3580
5,6500	0,3459
5,7000	0,3375
5,7500	0,3338
5,8000	0,3341
5,8500	0,3392
5,9000	0,3482
5,9500	0,3612
6,0000	0,3776
6,0500	0,3967
6,1000	0,4177
6,1500	0,4409
6,2000	0,4648
6,2500	0,4885
6,3000	0,5114
6,3500	0,5326
6,4000	0,5514
6,4500	0,5674
6,5000	0,5799
6,5500	0,5884
6,6000	0,5931
6,6500	0,5934
6,7000	0,5895
6,7500	0,5816
6,8000	0,5695
6,8500	0,5543
6,9000	0,5357
6,9500	0,5148
7,0000	0,4923
7,0500	0,4687
7,1000	0,4449
7,1500	0,4216
7,2000	0,4002
7,2500	0,3814
7,3000	0,3639
7,3500	0,3504
7,4000	0,3407
7,4500	0,3351
7,5000	0,3340
7,5500	0,3373
7,6000	0,3448
7,6500	0,3562
7,7000	0,3715
7,7500	0,3902
7,8000	0,4097
7,8500	0,4323
7,9000	0,4559
7,9500	0,4798
8,0000	0,5028
8,0500	0,5247
8,1000	0,5444
8,1500	0,5615
8,2000	0,5752
8,2500	0,5853
8,3000	0,5914
8,3500	0,5933
8,4000	0,5910
8,4500	0,5846
8,5000	0,5741
8,5500	0,5599
8,6000	0,5426
8,6500	0,5227
8,7000	0,5007
8,7500	0,4774
8,8000	0,4537
8,8500	0,4302
8,9000	0,4078
8,9500	0,3883
9,0000	0,3703
9,0500	0,3554
9,1000	0,3443
9,1500	0,3372
9,2000	0,3342
9,2500	0,3360
9,3000	0,3419
9,3500	0,3518
9,4000	0,3656
9,4500	0,3831
9,5000	0,4021
9,5500	0,4239
9,6000	0,4471
9,6500	0,4708
9,7000	0,4942
9,7500	0,5166
9,8000	0,5371
9,8500	0,5553
9,9000	0,5701
9,9500	0,5816
10,0000	0,5892
10,0500	0,5927
10,1000	0,5920
10,1500	0,5870
10,2000	0,5782
10,2500	0,5652
10,3000	0,5493
10,3500	0,5302
10,4000	0,5089
10,4500	0,4862
10,5000	0,4626
10,5500	0,4390
