Time (s) Run #5	Position (m) Run #5
0,0000	0,6153
0,0500	0,6196
0,1000	0,6192
0,1500	0,6136
0,2000	0,6032
0,2500	0,5882
0,3000	0,5690
0,3500	0,5464
0,4000	0,5208
0,4500	0,4934
0,5000	0,4648
0,5500	0,4362
0,6000	0,4082
0,6500	0,3852
0,7000	0,3601
0,7500	0,3402
0,8000	0,3244
0,8500	0,3138
0,9000	0,3081
0,9500	0,3075
1,0000	0,3118
1,0500	0,3217
1,1000	0,3366
1,1500	0,3554
1,2000	0,3784
1,2500	0,4029
1,3000	0,4301
1,3500	0,4587
1,4000	0,4872
1,4500	0,5149
1,5000	0,5407
1,5500	0,5640
1,6000	0,5839
1,6500	0,5999
1,7000	0,6112
1,7500	0,6178
1,8000	0,6193
1,8500	0,6159
1,9000	0,6075
1,9500	0,5944
2,0000	0,5767
2,0500	0,5555
2,1000	0,5311
2,1500	0,5044
2,2000	0,4764
2,2500	0,4478
2,3000	0,4196
2,3500	0,3939
2,4000	0,3696
2,4500	0,3483
2,5000	0,3310
2,5500	0,3180
2,6000	0,3102
2,6500	0,3078
2,7000	0,3101
2,7500	0,3178
2,8000	0,3306
2,8500	0,3479
2,9000	0,3689
2,9500	0,3936
3,0000	0,4192
3,0500	0,4471
3,1000	0,4758
3,1500	0,5039
3,2000	0,5304
3,2500	0,5547
3,3000	0,5760
3,3500	0,5933
3,4000	0,6065
3,4500	0,6151
3,5000	0,6187
3,5500	0,6172
3,6000	0,6107
3,6500	0,5995
3,7000	0,5836
3,7500	0,5641
3,8000	0,5409
3,8500	0,5151
3,9000	0,4877
3,9500	0,4593
4,0000	0,4310
4,0500	0,4039
4,1000	0,3810
4,1500	0,3569
4,2000	0,3379
4,2500	0,3235
4,3000	0,3136
4,3500	0,3086
4,4000	0,3090
4,4500	0,3147
4,5000	0,3258
4,5500	0,3410
4,6000	0,3605
4,6500	0,3855
4,7000	0,4084
4,7500	0,4360
4,8000	0,4643
4,8500	0,4925
4,9000	0,5197
4,9500	0,5449
5,0000	0,5673
5,0500	0,5864
5,1000	0,6013
5,1500	0,6116
5,2000	0,6171
5,2500	0,6176
5,3000	0,6134
5,3500	0,6039
5,4000	0,5901
5,4500	0,5719
5,5000	0,5502
5,5500	0,5256
5,6000	0,4988
5,6500	0,4707
5,7000	0,4424
5,7500	0,4146
5,8000	0,3912
5,8500	0,3661
5,9000	0,3455
5,9500	0,3293
6,0000	0,3176
6,0500	0,3108
6,1000	0,3088
6,1500	0,3125
6,2000	0,3210
6,2500	0,3349
6,3000	0,3527
6,3500	0,3748
6,4000	0,3986
6,4500	0,4248
6,5000	0,4528
6,5500	0,4812
6,6000	0,5089
6,6500	0,5349
6,7000	0,5583
6,7500	0,5787
6,8000	0,5952
6,8500	0,6074
6,9000	0,6150
6,9500	0,6174
7,0000	0,6150
7,0500	0,6076
7,1000	0,5957
7,1500	0,5791
7,2000	0,5589
7,2500	0,5354
7,3000	0,5094
7,3500	0,4819
7,4000	0,4538
7,4500	0,4257
7,5000	0,3996
7,5500	0,3768
7,6000	0,3538
7,6500	0,3358
7,7000	0,3221
7,7500	0,3135
7,8000	0,3096
7,8500	0,3114
7,9000	0,3176
7,9500	0,3296
8,0000	0,3457
8,0500	0,3657
8,1000	0,3909
8,1500	0,4142
8,2000	0,4417
8,2500	0,4698
8,3000	0,4977
8,3500	0,5244
8,4000	0,5488
8,4500	0,5706
8,5000	0,5886
8,5500	0,6025
8,6000	0,6118
8,6500	0,6163
8,7000	0,6160
8,7500	0,6105
8,8000	0,6003
8,8500	0,5858
8,9000	0,5670
8,9500	0,5448
9,0000	0,5199
9,0500	0,4929
9,1000	0,4650
9,1500	0,4369
9,2000	0,4097
9,2500	0,3870
9,3000	0,3625
9,3500	0,3431
9,4000	0,3277
9,4500	0,3173
9,5000	0,3113
9,5500	0,3109
9,6000	0,3151
9,6500	0,3246
9,7000	0,3393
9,7500	0,3576
9,8000	0,3806
9,8500	0,4039
9,9000	0,4307
9,9500	0,4587
10,0000	0,4865
10,0500	0,5137
10,1000	0,5390
10,1500	0,5618
10,2000	0,5814
10,2500	0,5970
10,3000	0,6081
10,3500	0,6145
10,4000	0,6162
10,4500	0,6128
10,5000	0,6043
10,5500	0,5916
10,6000	0,5745
10,6500	0,5537
