Time (s) Run #4	Position (m) Run #4
0,0000	0,4534
0,0500	0,4204
0,1000	0,3918
0,1500	0,3610
0,2000	0,3353
0,2500	0,3142
0,3000	0,2979
0,3500	0,2852
0,4000	0,2810
0,4500	0,2818
0,5000	0,2913
0,5500	0,3046
0,6000	0,3233
0,6500	0,3465
0,7000	0,3743
0,7500	0,4031
0,8000	0,4352
0,8500	0,4683
0,9000	0,5012
0,9500	0,5325
1,0000	0,5614
1,0500	0,5870
1,1000	0,6083
1,1500	0,6250
1,2000	0,6362
1,2500	0,6421
1,3000	0,6420
1,3500	0,6361
1,4000	0,6246
1,4500	0,6079
1,5000	0,5865
1,5500	0,5608
1,6000	0,5319
1,6500	0,5006
1,7000	0,4679
1,7500	0,4349
1,8000	0,4031
1,8500	0,3749
1,9000	0,3467
1,9500	0,3235
2,0000	0,3050
2,0500	0,2919
2,1000	0,2835
2,1500	0,2813
2,2000	0,2881
2,2500	0,2985
2,3000	0,3147
2,3500	0,3363
2,4000	0,3618
2,4500	0,3908
2,5000	0,4211
2,5500	0,4539
2,6000	0,4867
2,6500	0,5187
2,7000	0,5487
2,7500	0,5758
2,8000	0,5989
2,8500	0,6177
2,9000	0,6313
2,9500	0,6396
3,0000	0,6420
3,0500	0,6386
3,1000	0,6297
3,1500	0,6153
3,2000	0,5959
3,2500	0,5723
3,3000	0,5447
3,3500	0,5144
3,4000	0,4822
3,4500	0,4494
3,5000	0,4169
3,5500	0,3889
3,6000	0,3586
3,6500	0,3337
3,7000	0,3130
3,7500	0,2977
3,8000	0,2879
3,8500	0,2820
3,9000	0,2841
3,9500	0,2942
4,0000	0,3079
4,0500	0,3270
4,1000	0,3506
4,1500	0,3788
4,2000	0,4076
4,2500	0,4397
4,3000	0,4725
4,3500	0,5048
4,4000	0,5356
4,4500	0,5639
4,5000	0,5887
4,5500	0,6094
4,6000	0,6252
4,6500	0,6359
4,7000	0,6407
4,7500	0,6399
4,8000	0,6334
4,8500	0,6216
4,9000	0,6041
4,9500	0,5824
5,0000	0,5567
5,0500	0,5276
5,1000	0,4963
5,1500	0,4637
5,2000	0,4311
5,2500	0,4001
5,3000	0,3712
5,3500	0,3446
5,4000	0,3218
5,4500	0,3047
5,5000	0,2920
5,5500	0,2841
5,6000	0,2849
5,6500	0,2907
5,7000	0,3017
5,7500	0,3188
5,8000	0,3406
5,8500	0,3663
5,9000	0,3951
5,9500	0,4258
6,0000	0,4582
6,0500	0,4907
6,1000	0,5222
6,1500	0,5516
6,2000	0,5780
6,2500	0,6003
6,3000	0,6184
6,3500	0,6311
6,4000	0,6386
6,4500	0,6403
6,5000	0,6364
6,5500	0,6268
6,6000	0,6118
6,6500	0,5920
6,7000	0,5678
6,7500	0,5402
6,8000	0,5099
6,8500	0,4780
6,9000	0,4454
6,9500	0,4133
7,0000	0,3858
7,0500	0,3562
7,1000	0,3318
7,1500	0,3121
7,2000	0,2977
7,2500	0,2885
7,3000	0,2842
7,3500	0,2883
7,4000	0,2971
7,4500	0,3115
7,5000	0,3310
7,5500	0,3551
7,6000	0,3847
7,6500	0,4122
7,7000	0,4441
7,7500	0,4766
7,8000	0,5086
7,8500	0,5389
7,9000	0,5665
7,9500	0,5907
8,0000	0,6104
8,0500	0,6256
8,1000	0,6352
8,1500	0,6394
8,2000	0,6379
8,2500	0,6307
8,3000	0,6181
8,3500	0,6004
8,4000	0,5783
8,4500	0,5522
8,5000	0,5230
8,5500	0,4918
8,6000	0,4596
8,6500	0,4273
8,7000	0,3968
8,7500	0,3683
8,8000	0,3424
8,8500	0,3211
8,9000	0,3040
8,9500	0,2911
9,0000	0,2850
9,0500	0,2854
9,1000	0,2924
9,1500	0,3052
9,2000	0,3229
9,2500	0,3448
9,3000	0,3711
9,3500	0,3997
9,4000	0,4304
9,4500	0,4627
9,5000	0,4948
9,5500	0,5258
9,6000	0,5546
9,6500	0,5803
9,7000	0,6019
9,7500	0,6189
9,8000	0,6310
9,8500	0,6374
9,9000	0,6385
9,9500	0,6339
10,0000	0,6236
10,0500	0,6080
10,1000	0,5879
10,1500	0,5634
10,2000	0,5355
10,2500	0,5052
10,3000	0,4734
10,3500	0,4411
10,4000	0,4095
10,4500	0,3825
