Time (s) Run #8	Position (m) Run #8
0,0000	0,4113
0,0500	0,4175
0,1000	0,4217
0,1500	0,4242
0,2000	0,4235
0,2500	0,4203
0,3000	0,4147
0,3500	0,4064
0,4000	0,3988
0,4500	0,3868
0,5000	0,3718
0,5500	0,3576
0,6000	0,3427
0,6500	0,3281
0,7000	0,3122
0,7500	0,2991
0,8000	0,2874
0,8500	0,2777
0,9000	0,2703
0,9500	0,2651
1,0000	0,2625
1,0500	0,2628
1,1000	0,2657
1,1500	0,2711
1,2000	0,2790
1,2500	0,2889
1,3000	0,3009
1,3500	0,3159
1,4000	0,3301
1,4500	0,3449
1,5000	0,3597
1,5500	0,3754
1,6000	0,3886
1,6500	0,4002
1,7000	0,4076
1,7500	0,4153
1,8000	0,4206
1,8500	0,4235
1,9000	0,4239
1,9500	0,4214
2,0000	0,4164
2,0500	0,4092
2,1000	0,4022
2,1500	0,3911
2,2000	0,3779
2,2500	0,3625
2,3000	0,3479
2,3500	0,3333
2,4000	0,3188
2,4500	0,3040
2,5000	0,2915
2,5500	0,2812
2,6000	0,2729
2,6500	0,2668
2,7000	0,2635
2,7500	0,2630
2,8000	0,2648
2,8500	0,2694
2,9000	0,2764
2,9500	0,2857
3,0000	0,2968
3,0500	0,3116
3,1000	0,3255
3,1500	0,3401
3,2000	0,3547
3,2500	0,3691
3,3000	0,3843
3,3500	0,3964
3,4000	0,4043
3,4500	0,4127
3,5000	0,4189
3,5500	0,4226
3,6000	0,4237
3,6500	0,4222
3,7000	0,4183
3,7500	0,4118
3,8000	0,4041
3,8500	0,3948
3,9000	0,3829
3,9500	0,3682
4,0000	0,3529
4,0500	0,3383
4,1000	0,3238
4,1500	0,3090
4,2000	0,2955
4,2500	0,2845
4,3000	0,2757
4,3500	0,2689
4,4000	0,2646
4,4500	0,2631
4,5000	0,2641
4,5500	0,2679
4,6000	0,2740
4,6500	0,2828
4,7000	0,2932
4,7500	0,3073
4,8000	0,3210
4,8500	0,3353
4,9000	0,3501
4,9500	0,3648
5,0000	0,3800
5,0500	0,3926
5,1000	0,4034
5,1500	0,4101
5,2000	0,4170
5,2500	0,4215
5,3000	0,4235
5,3500	0,4229
5,4000	0,4196
5,4500	0,4140
5,5000	0,4059
5,5500	0,3984
5,6000	0,3870
5,6500	0,3738
5,7000	0,3579
5,7500	0,3431
5,8000	0,3286
5,8500	0,3147
5,9000	0,3002
5,9500	0,2883
6,0000	0,2788
6,0500	0,2712
6,1000	0,2661
6,1500	0,2637
6,2000	0,2638
6,2500	0,2667
6,3000	0,2722
6,3500	0,2799
6,4000	0,2899
6,4500	0,3030
6,5000	0,3166
6,5500	0,3306
6,6000	0,3453
6,6500	0,3598
6,7000	0,3757
6,7500	0,3885
6,8000	0,3999
6,8500	0,4071
6,9000	0,4147
6,9500	0,4201
7,0000	0,4229
7,0500	0,4232
7,1000	0,4208
7,1500	0,4159
7,2000	0,4087
7,2500	0,4017
7,3000	0,3907
7,3500	0,3781
7,4000	0,3625
7,4500	0,3481
7,5000	0,3336
7,5500	0,3193
7,6000	0,3057
7,6500	0,2921
7,7000	0,2819
7,7500	0,2736
7,8000	0,2677
7,8500	0,2642
7,9000	0,2636
7,9500	0,2657
8,0000	0,2701
8,0500	0,2771
8,1000	0,2864
8,1500	0,2977
8,2000	0,3121
8,2500	0,3260
8,3000	0,3404
8,3500	0,3550
8,4000	0,3709
8,4500	0,3843
8,5000	0,3963
8,5500	0,4042
8,6000	0,4123
8,6500	0,4184
8,7000	0,4221
8,7500	0,4232
8,8000	0,4217
8,8500	0,4176
8,9000	0,4113
8,9500	0,4036
9,0000	0,3945
9,0500	0,3825
9,1000	0,3688
9,1500	0,3529
9,2000	0,3384
9,2500	0,3241
9,3000	0,3104
9,3500	0,2965
9,4000	0,2853
9,4500	0,2763
9,5000	0,2696
9,5500	0,2654
9,6000	0,2638
9,6500	0,2648
9,7000	0,2686
9,7500	0,2749
9,8000	0,2833
9,8500	0,2939
9,9000	0,3078
9,9500	0,3214
10,0000	0,3356
