Time (s) Run #3	Position (m) Run #3
0,0000	0,6009
0,0500	0,5698
0,1000	0,5352
0,1500	0,4980
0,2000	0,4594
0,2500	0,4209
0,3000	0,3864
0,3500	0,3498
0,4000	0,3187
0,4500	0,2919
0,5000	0,2711
0,5500	0,2574
0,6000	0,2504
0,6500	0,2505
0,7000	0,2574
0,7500	0,2712
0,8000	0,2933
0,8500	0,3199
0,9000	0,3506
0,9500	0,3873
1,0000	0,4217
1,0500	0,4603
1,1000	0,4988
1,1500	0,5357
1,2000	0,5704
1,2500	0,6011
1,3000	0,6271
1,3500	0,6477
1,4000	0,6628
1,4500	0,6709
1,5000	0,6729
1,5500	0,6673
1,6000	0,6555
1,6500	0,6375
1,7000	0,6139
1,7500	0,5851
1,8000	0,5522
1,8500	0,5161
1,9000	0,4784
1,9500	0,4397
2,0000	0,4023
2,0500	0,3671
2,1000	0,3342
2,1500	0,3057
2,2000	0,2819
2,2500	0,2642
2,3000	0,2541
2,3500	0,2507
2,4000	0,2542
2,4500	0,2646
2,5000	0,2817
2,5500	0,3072
2,6000	0,3356
2,6500	0,3687
2,7000	0,4037
2,7500	0,4414
2,8000	0,4799
2,8500	0,5177
2,9000	0,5533
2,9500	0,5859
3,0000	0,6142
3,0500	0,6375
3,1000	0,6551
3,1500	0,6665
3,2000	0,6716
3,2500	0,6698
3,3000	0,6609
3,3500	0,6460
3,4000	0,6250
3,4500	0,5990
3,5000	0,5680
3,5500	0,5337
3,6000	0,4968
3,6500	0,4585
3,7000	0,4203
3,7500	0,3864
3,8000	0,3503
3,8500	0,3199
3,9000	0,2938
3,9500	0,2723
4,0000	0,2590
4,0500	0,2523
4,1000	0,2527
4,1500	0,2599
4,2000	0,2738
4,2500	0,2940
4,3000	0,3217
4,3500	0,3526
4,4000	0,3876
4,4500	0,4230
4,5000	0,4613
4,5500	0,4993
4,6000	0,5359
4,6500	0,5700
4,7000	0,6002
4,7500	0,6260
4,8000	0,6464
4,8500	0,6607
4,9000	0,6690
4,9500	0,6705
5,0000	0,6649
5,0500	0,6531
5,1000	0,6350
5,1500	0,6114
5,2000	0,5830
5,2500	0,5505
5,3000	0,5147
5,3500	0,4772
5,4000	0,4390
5,4500	0,4017
5,5000	0,3672
5,5500	0,3347
5,6000	0,3064
5,6500	0,2820
5,7000	0,2655
5,7500	0,2556
5,8000	0,2528
5,8500	0,2566
5,9000	0,2672
5,9500	0,2839
6,0000	0,3089
6,0500	0,3375
6,1000	0,3704
6,1500	0,4052
6,2000	0,4428
6,2500	0,4807
6,3000	0,5180
6,3500	0,5533
6,4000	0,5854
6,4500	0,6134
6,5000	0,6363
6,5500	0,6535
6,6000	0,6646
6,6500	0,6695
6,7000	0,6674
6,7500	0,6587
6,8000	0,6437
6,8500	0,6229
6,9000	0,5969
6,9500	0,5661
7,0000	0,5319
7,0500	0,4954
7,1000	0,4575
7,1500	0,4196
7,2000	0,3861
7,2500	0,3505
7,3000	0,3206
7,3500	0,2952
7,4000	0,2739
7,4500	0,2609
7,5000	0,2542
7,5500	0,2546
7,6000	0,2619
7,6500	0,2759
7,7000	0,2980
7,7500	0,3238
7,8000	0,3546
7,8500	0,3907
7,9000	0,4246
7,9500	0,4625
8,0000	0,5002
8,0500	0,5363
8,1000	0,5701
8,1500	0,5999
8,2000	0,6252
8,2500	0,6452
8,3000	0,6592
8,3500	0,6668
8,4000	0,6681
8,4500	0,6627
8,5000	0,6507
8,5500	0,6328
8,6000	0,6092
8,6500	0,5807
8,7000	0,5484
8,7500	0,5130
8,8000	0,4758
8,8500	0,4380
8,9000	0,4012
8,9500	0,3669
9,0000	0,3347
9,0500	0,3071
9,1000	0,2851
9,1500	0,2671
9,2000	0,2575
9,2500	0,2545
9,3000	0,2585
9,3500	0,2692
9,4000	0,2872
9,4500	0,3115
9,5000	0,3401
9,5500	0,3727
9,6000	0,4069
9,6500	0,4443
9,7000	0,4819
9,7500	0,5189
9,8000	0,5539
9,8500	0,5854
9,9000	0,6129
9,9500	0,6354
10,0000	0,6523
10,0500	0,6631
10,1000	0,6675
10,1500	0,6651
10,2000	0,6564
10,2500	0,6413
10,3000	0,6205
10,3500	0,5943
10,4000	0,5639
10,4500	0,5300
10,5000	0,4935
10,5500	0,4561
10,6000	0,4186
10,6500	0,3856
10,7000	0,3503
10,7500	0,3207
