Time (s) Run #9	Position (m) Run #9
0,0000	0,3071
0,0500	0,3114
0,1000	0,3145
0,1500	0,3216
0,2000	0,3320
0,2500	0,3409
0,3000	0,3500
0,3500	0,3591
0,4000	0,3679
0,4500	0,3761
0,5000	0,3848
0,5500	0,3909
0,6000	0,3954
0,6500	0,3985
0,7000	0,3997
0,7500	0,3996
0,8000	0,3984
0,8500	0,3954
0,9000	0,3906
0,9500	0,3848
1,0000	0,3762
1,0500	0,3679
1,1000	0,3590
1,1500	0,3500
1,2000	0,3409
1,2500	0,3319
1,3000	0,3238
1,3500	0,3165
1,4000	0,3086
1,4500	0,3042
1,5000	0,3000
1,5500	0,2983
1,6000	0,2979
1,6500	0,2994
1,7000	0,3032
1,7500	0,3076
1,8000	0,3146
1,8500	0,3218
1,9000	0,3297
1,9500	0,3383
2,0000	0,3473
2,0500	0,3564
2,1000	0,3653
2,1500	0,3751
2,2000	0,3827
2,2500	0,3890
2,3000	0,3940
2,3500	0,3976
2,4000	0,3988
2,4500	0,3997
2,5000	0,3989
2,5500	0,3959
2,6000	0,3921
2,6500	0,3866
2,7000	0,3798
2,7500	0,3710
2,8000	0,3619
2,8500	0,3530
2,9000	0,3438
2,9500	0,3349
3,0000	0,3266
3,0500	0,3188
3,1000	0,3123
3,1500	0,3069
3,2000	0,3023
3,2500	0,2993
3,3000	0,2982
3,3500	0,2991
3,4000	0,3018
3,4500	0,3074
3,5000	0,3129
3,5500	0,3196
3,6000	0,3273
3,6500	0,3357
3,7000	0,3447
3,7500	0,3536
3,8000	0,3625
3,8500	0,3724
3,9000	0,3803
3,9500	0,3871
4,0000	0,3924
4,0500	0,3964
4,1000	0,3990
4,1500	0,3996
4,2000	0,3991
4,2500	0,3971
4,3000	0,3935
4,3500	0,3885
4,4000	0,3820
4,4500	0,3738
4,5000	0,3648
4,5500	0,3559
4,6000	0,3468
4,6500	0,3378
4,7000	0,3294
4,7500	0,3214
4,8000	0,3145
4,8500	0,3086
4,9000	0,3043
4,9500	0,3012
5,0000	0,2996
5,0500	0,3001
5,1000	0,3025
5,1500	0,3062
5,2000	0,3112
5,2500	0,3175
5,3000	0,3249
5,3500	0,3332
5,4000	0,3419
5,4500	0,3509
5,5000	0,3600
5,5500	0,3686
5,6000	0,3781
5,6500	0,3852
5,7000	0,3909
5,7500	0,3954
5,8000	0,3983
5,8500	0,3997
5,9000	0,3996
5,9500	0,3981
6,0000	0,3947
6,0500	0,3901
6,1000	0,3841
6,1500	0,3767
6,2000	0,3681
6,2500	0,3586
6,3000	0,3497
6,3500	0,3407
6,4000	0,3319
6,4500	0,3238
6,5000	0,3168
6,5500	0,3105
6,6000	0,3057
6,6500	0,3022
6,7000	0,2996
6,7500	0,3003
6,8000	0,3018
6,8500	0,3050
6,9000	0,3097
6,9500	0,3155
7,0000	0,3225
7,0500	0,3306
7,1000	0,3392
7,1500	0,3481
7,2000	0,3572
7,2500	0,3662
7,3000	0,3757
7,3500	0,3829
7,4000	0,3891
7,4500	0,3940
7,5000	0,3974
7,5500	0,3994
7,6000	0,3998
7,6500	0,3986
7,7000	0,3959
7,7500	0,3916
7,8000	0,3861
7,8500	0,3793
7,9000	0,3707
7,9500	0,3614
8,0000	0,3524
8,0500	0,3435
8,1000	0,3347
8,1500	0,3264
8,2000	0,3190
8,2500	0,3124
8,3000	0,3073
8,3500	0,3033
8,4000	0,3010
8,4500	0,2996
8,5000	0,3013
8,5500	0,3040
8,6000	0,3081
8,6500	0,3136
8,7000	0,3203
8,7500	0,3282
8,8000	0,3364
8,8500	0,3454
8,9000	0,3543
8,9500	0,3636
9,0000	0,3727
9,0500	0,3807
9,1000	0,3872
9,1500	0,3924
9,2000	0,3962
9,2500	0,3989
9,3000	0,3987
9,3500	0,3989
9,4000	0,3964
9,4500	0,3928
9,5000	0,3880
9,5500	0,3815
9,6000	0,3727
9,6500	0,3643
9,7000	0,3554
9,7500	0,3464
9,8000	0,3376
9,8500	0,3292
9,9000	0,3214
9,9500	0,3147
10,0000	0,3090
