Time (s) Run #1	Position (m) Run #1
0,000	0,18853
0,050	0,17090
0,100	0,16068
0,150	0,15768
0,200	0,16226
0,250	0,17369
0,300	0,19321
0,350	0,21906
0,400	0,25092
0,450	0,28776
0,500	0,32853
0,550	0,37320
0,600	0,41452
0,650	0,45730
0,700	0,49784
0,750	0,53701
0,800	0,56946
0,850	0,59647
0,900	0,61718
0,950	0,63067
1,000	0,63714
1,050	0,63603
1,100	0,62768
1,150	0,61227
1,200	0,58956
1,250	0,56114
1,300	0,52720
1,350	0,48724
1,400	0,44607
1,450	0,40328
1,500	0,36195
1,550	0,31772
1,600	0,27818
1,650	0,24260
1,700	0,21237
1,750	0,18835
1,800	0,17124
1,850	0,16136
1,900	0,15888
1,950	0,16363
2,000	0,17576
2,050	0,19493
2,100	0,22078
2,150	0,25264
2,200	0,28965
2,250	0,33007
2,300	0,37458
2,350	0,41573
2,400	0,45834
2,450	0,49854
2,500	0,53718
2,550	0,56948
2,600	0,59614
2,650	0,61650
2,700	0,62982
2,750	0,63594
2,800	0,63466
2,850	0,62614
2,900	0,61055
2,950	0,58785
3,000	0,55929
3,050	0,52388
3,100	0,48551
3,150	0,44451
3,200	0,40193
3,250	0,35898
3,300	0,31703
3,350	0,27766
3,400	0,24242
3,450	0,21254
3,500	0,18887
3,550	0,17210
3,600	0,16239
3,650	0,16009
3,700	0,16500
3,750	0,17696
3,800	0,19664
3,850	0,22267
3,900	0,25453
3,950	0,29137
4,000	0,33197
4,050	0,37613
4,100	0,41693
4,150	0,45937
4,200	0,49942
4,250	0,53754
4,300	0,56948
4,350	0,59599
4,400	0,61581
4,450	0,62897
4,500	0,63492
4,550	0,63347
4,600	0,62460
4,650	0,60866
4,700	0,58595
4,750	0,55735
4,800	0,52357
4,850	0,48378
4,900	0,44277
4,950	0,40089
5,000	0,35812
5,050	0,31599
5,100	0,27696
5,150	0,24207
5,200	0,21253
5,250	0,18921
5,300	0,17278
5,350	0,16342
5,400	0,16129
5,450	0,16655
5,500	0,17902
5,550	0,19836
5,600	0,22438
5,650	0,25642
5,700	0,29326
5,750	0,33351
5,800	0,37785
5,850	0,41832
5,900	0,46024
5,950	0,50011
6,000	0,53807
6,050	0,56949
6,100	0,59565
6,150	0,61531
6,200	0,62812
6,250	0,63372
6,300	0,63192
6,350	0,62306
6,400	0,60694
6,450	0,58423
6,500	0,55550
6,550	0,52007
6,600	0,48206
6,650	0,44105
6,700	0,39915
6,750	0,35708
6,800	0,31495
6,850	0,27627
6,900	0,24172
6,950	0,21253
7,000	0,18972
7,050	0,17347
7,100	0,16445
7,150	0,16266
7,200	0,16792
7,250	0,18039
7,300	0,20042
7,350	0,22644
7,400	0,25848
7,450	0,29532
7,500	0,33558
7,550	0,37940
7,600	0,41986
7,650	0,46162
7,700	0,50097
7,750	0,53877
7,800	0,56985
7,850	0,59566
7,900	0,61498
7,950	0,62745
8,000	0,63270
8,050	0,63073
8,100	0,62152
8,150	0,60522
8,200	0,58234
8,250	0,55360
8,300	0,51818
8,350	0,47998
8,400	0,43928
8,450	0,39920
8,500	0,35499
8,550	0,31391
8,600	0,27540
8,650	0,24120
8,700	0,21253
8,750	0,18989
8,800	0,17381
8,850	0,16531
8,900	0,16386
8,950	0,16946
9,000	0,18245
9,050	0,20231
9,100	0,22850
9,150	0,26071
9,200	0,29738
9,250	0,33746
9,300	0,38147
9,350	0,42141
9,400	0,46301
9,450	0,50184
9,500	0,53929
9,550	0,57003
9,600	0,59550
9,650	0,61448
9,700	0,62660
9,750	0,63151
9,800	0,62919
9,850	0,61963
9,900	0,60316
9,950	0,58010
10,000	0,55136
10,050	0,51611
10,100	0,47809
10,150	0,43724
10,200	0,39586
10,250	0,35449
10,300	0,31270
10,350	0,27453
10,400	0,24068
10,450	0,21235
10,500	0,19006
10,550	0,17414
10,600	0,16616
10,650	0,16489
