	831.2.tif
	HLine
0	56
1	57
2	56
3	55
4	55
5	56
6	55
7	57
8	55
9	55
10	55
11	56
12	58
13	57
14	58
15	58
16	56
17	56
18	57
19	56
20	56
21	56
22	54
23	56
24	55
25	55
26	55
27	56
28	55
29	57
30	56
31	57
32	57
33	57
34	55
35	56
36	57
37	57
38	57
39	57
40	59
41	57
42	54
43	55
44	55
45	57
46	57
47	58
48	57
49	58
50	56
51	56
52	54
53	55
54	55
55	56
56	58
57	57
58	54
59	56
60	56
61	58
62	55
63	55
64	55
65	56
66	55
67	57
68	58
69	57
70	58
71	58
72	57
73	57
74	57
75	56
76	56
77	57
78	57
79	57
80	56
81	57
82	57
83	56
84	57
85	57
86	55
87	57
88	57
89	57
90	56
91	56
92	58
93	57
94	56
95	57
96	57
97	57
98	57
99	56
100	55
101	54
102	55
103	57
104	56
105	58
106	57
107	57
108	55
109	56
110	58
111	57
112	56
113	56
114	56
115	56
116	55
117	56
118	58
119	58
120	58
121	58
122	58
123	58
124	57
125	58
126	57
127	57
128	57
129	55
130	56
131	58
132	56
133	57
134	57
135	56
136	57
137	57
138	58
139	57
140	56
141	57
142	56
143	57
144	57
145	55
146	57
147	57
148	58
149	58
150	55
151	55
152	56
153	57
154	56
155	58
156	58
157	58
158	57
159	58
160	58
161	58
162	56
163	58
164	57
165	57
166	55
167	56
168	56
169	58
170	57
171	58
172	57
173	57
174	56
175	57
176	56
177	57
178	58
179	57
180	55
181	56
182	56
183	58
184	58
185	57
186	59
187	57
188	59
189	57
190	56
191	57
192	59
193	56
194	55
195	57
196	59
197	59
198	58
199	57
200	57
201	56
202	56
203	57
204	55
205	55
206	55
207	57
208	56
209	57
210	57
211	57
212	57
213	57
214	56
215	56
216	56
217	57
218	56
219	56
220	56
221	56
222	59
223	57
224	56
225	58
226	58
227	57
228	58
229	58
230	56
231	56
232	58
233	59
234	57
235	59
236	56
237	57
238	56
239	57
240	56
241	57
242	56
243	57
244	56
245	58
246	56
247	58
248	58
249	59
250	57
251	56
252	55
253	57
254	56
255	58
256	58
257	59
258	58
259	58
260	57
261	57
262	55
263	57
264	56
265	56
266	56
267	58
268	59
269	58
270	58
271	60
272	59
273	58
274	58
275	57
276	57
277	58
278	58
279	57
280	59
281	57
282	55
283	58
284	59
285	59
286	56
287	58
288	60
289	59
290	56
291	57
292	57
293	58
294	58
295	58
296	58
297	59
298	60
299	58
300	55
301	57
302	59
303	60
304	59
305	58
306	58
307	59
308	58
309	57
310	58
311	57
312	56
313	57
314	56
315	58
316	57
317	59
318	56
319	57
320	55
321	59
322	56
323	58
324	56
325	57
326	59
327	58
328	58
329	58
330	56
331	58
332	58
333	59
334	59
335	59
336	58
337	57
338	58
339	57
340	56
341	58
342	59
343	59
344	58
345	59
346	58
347	59
348	56
349	57
350	56
351	58
352	58
353	58
354	57
355	57
356	58
357	59
358	58
359	58
360	57
361	58
362	59
363	59
364	59
365	59
366	60
367	59
368	59
369	59
370	59
371	60
372	60
373	59
374	59
375	59
376	58
377	59
378	58
379	60
380	60
381	58
382	56
383	60
384	59
385	61
386	60
387	60
388	60
389	60
390	60
391	60
392	61
393	61
394	61
395	60
396	59
397	59
398	60
399	61
400	61
401	61
402	59
403	59
404	58
405	59
406	59
407	60
408	60
409	59
410	59
411	60
412	58
413	59
414	59
415	59
416	60
417	59
418	58
419	59
420	59
421	60
422	59
423	60
424	59
425	59
426	60
427	60
428	60
429	59
430	58
431	59
432	57
433	59
434	59
435	60
436	60
437	59
438	59
439	60
440	58
441	59
442	60
443	59
444	59
445	60
446	62
447	62
448	63
449	61
450	58
451	59
452	59
453	59
454	58
455	58
456	59
457	59
458	58
459	59
460	59
461	60
462	59
463	61
464	61
465	61
466	60
467	61
468	62
469	62
470	61
471	61
472	62
473	62
474	62
475	62
476	63
477	63
478	63
479	63
480	63
481	63
482	60
483	62
484	64
485	64
486	62
487	63
488	65
489	64
490	64
491	65
492	63
493	63
494	64
495	65
496	65
497	65
498	66
499	65
500	65
501	65
502	65
503	65
504	63
505	65
506	65
507	65
508	64
509	65
510	65
511	66
512	67
513	66
514	66
515	65
516	65
517	65
518	65
519	66
520	66
521	66
522	66
523	67
524	65
525	65
526	67
527	66
528	66
529	66
530	66
531	67
532	69
533	68
534	68
535	68
536	69
537	68
538	68
539	69
540	68
541	68
542	67
543	67
544	67
545	68
546	69
547	69
548	68
549	66
550	66
551	68
552	68
553	68
554	68
555	70
556	69
557	70
558	68
559	68
560	69
561	71
562	70
563	70
564	69
565	69
566	70
567	71
568	72
569	71
570	70
571	70
572	71
573	71
574	71
575	71
576	71
577	70
578	69
579	70
580	72
581	72
582	70
583	71
584	71
585	71
586	72
587	71
588	69
589	70
590	69
591	71
592	71
593	70
594	69
595	70
596	70
597	70
598	70
599	69
600	66
601	70
602	72
603	71
604	69
605	68
606	66
607	66
608	66
609	67
610	67
611	67
612	66
613	65
614	65
615	65
616	65
617	65
618	64
619	67
620	67
621	66
622	63
623	65
624	63
625	66
626	65
627	66
628	68
629	68
630	67
631	68
632	68
633	67
634	67
635	68
636	69
637	71
638	71
639	71
640	72
641	74
642	74
643	75
644	75
645	77
646	78
647	79
648	79
649	80
650	80
651	81
652	82
653	84
654	84
655	85
656	87
657	88
658	89
659	89
660	89
661	93
662	93
663	94
664	94
665	94
666	93
667	95
668	98
669	95
670	92
671	96
672	100
673	96
674	96
675	97
676	100
677	101
678	103
679	104
680	106
681	107
682	109
683	111
684	112
685	114
686	117
687	117
688	117
689	117
690	119
691	119
692	119
693	120
694	122
695	124
696	124
697	124
698	127
699	129
700	129
701	131
702	132
703	133
704	133
705	132
706	132
707	130
708	134
709	136
710	137
711	138
712	138
713	139
714	140
715	140
716	141
717	143
718	143
719	142
720	143
721	143
722	144
723	146
724	145
725	143
726	146
727	146
728	145
729	143
730	144
731	146
732	145
733	144
734	144
735	145
736	145
737	146
738	145
739	144
740	143
741	144
742	144
743	144
744	143
745	142
746	141
747	140
748	141
749	141
750	140
751	137
752	137
753	138
754	137
755	137
756	135
757	133
758	132
759	132
760	131
761	129
762	129
763	129
764	129
765	129
766	129
767	127
768	125
769	123
770	122
771	122
772	120
773	119
774	118
775	116
776	114
777	114
778	113
779	111
780	110
781	107
782	106
783	105
784	105
785	103
786	103
787	101
788	98
789	97
790	97
791	95
792	94
793	95
794	96
795	97
796	97
797	96
798	95
799	95
800	94
801	92
802	91
803	89
804	88
805	89
806	89
807	87
808	86
809	85
810	85
811	83
812	83
813	81
814	79
815	78
816	78
817	77
818	77
819	76
820	76
821	74
822	72
823	72
824	72
825	72
826	70
827	68
828	67
829	68
830	69
831	69
832	67
833	66
834	67
835	66
836	66
837	66
838	64
839	66
840	65
841	64
842	66
843	65
844	64
845	65
846	64
847	65
848	63
849	65
850	65
851	64
852	64
853	66
854	66
855	67
856	67
857	67
858	68
859	67
860	68
861	69
862	68
863	68
864	67
865	69
866	68
867	68
868	68
869	68
870	69
871	70
872	69
873	71
874	71
875	71
876	69
877	70
878	70
879	72
880	74
881	72
882	71
883	71
884	72
885	72
886	71
887	71
888	72
889	72
890	71
891	70
892	70
893	71
894	71
895	72
896	71
897	70
898	73
899	71
900	70
901	70
902	69
903	70
904	69
905	70
906	70
907	69
908	69
909	69
910	70
911	68
912	66
913	67
914	67
915	69
916	68
917	68
918	68
919	67
920	66
921	66
922	66
923	66
924	65
925	66
926	66
927	66
928	66
929	64
930	62
931	64
932	64
933	63
934	62
935	63
936	64
937	63
938	63
939	64
940	63
941	64
942	64
943	63
944	63
945	63
946	63
947	63
948	62
949	62
950	63
951	62
952	63
953	61
954	61
955	60
956	62
957	62
958	63
959	61
960	62
961	60
962	60
963	61
964	61
965	61
966	59
967	60
968	59
969	59
970	59
971	60
972	61
973	60
974	58
975	60
976	60
977	61
978	61
979	60
980	60
981	61
982	59
983	61
984	61
985	60
986	58
987	61
988	62
989	62
990	60
991	60
992	60
993	60
994	60
995	60
996	60
997	61
998	61
999	60
1000	59
1001	61
1002	60
1003	60
1004	59
1005	59
1006	59
1007	59
1008	60
1009	60
1010	59
1011	60
1012	60
1013	61
1014	60
1015	61
1016	61
1017	60
1018	60
1019	59
1020	61
1021	61
1022	60
1023	59
1024	59
1025	60
1026	61
1027	60
1028	60
1029	59
1030	60
1031	61
1032	60
1033	60
1034	59
1035	59
1036	58
1037	60
1038	60
1039	61
1040	60
1041	60
1042	57
1043	59
1044	61
1045	61
1046	61
1047	59
1048	57
1049	60
1050	59
1051	59
1052	58
1053	60
1054	60
1055	59
1056	59
1057	60
1058	59
1059	59
1060	59
1061	60
1062	58
1063	60
1064	59
1065	59
1066	56
1067	59
1068	59
1069	60
1070	59
1071	60
1072	60
1073	60
1074	60
1075	59
1076	59
1077	59
1078	59
1079	60
1080	58
1081	59
1082	59
1083	60
1084	60
1085	60
1086	58
1087	58
1088	60
1089	61
1090	60
1091	60
1092	61
1093	60
1094	61
1095	59
1096	60
1097	59
1098	57
1099	58
1100	58
1101	59
1102	57
1103	57
1104	57
1105	59
1106	59
1107	60
1108	58
1109	60
1110	58
1111	59
1112	56
1113	60
1114	59
1115	58
1116	57
1117	58
1118	58
1119	57
1120	56
1121	58
1122	58
1123	59
1124	60
1125	59
1126	57
1127	57
1128	58
1129	57
1130	58
1131	58
1132	58
1133	57
1134	57
1135	59
1136	59
1137	58
1138	56
1139	59
1140	59
1141	60
1142	59
1143	59
1144	58
1145	59
1146	59
1147	59
1148	58
1149	58
1150	58
1151	58
1152	56
1153	58
1154	60
1155	58
1156	55
1157	58
1158	56
1159	59
1160	61
1161	61
1162	60
1163	60
1164	59
1165	60
1166	60
1167	59
1168	60
1169	59
1170	58
1171	59
1172	58
1173	58
1174	59
1175	60
1176	60
1177	59
1178	59
1179	59
1180	60
1181	59
1182	56
1183	60
1184	59
1185	60
1186	60
1187	59
1188	59
1189	60
1190	58
1191	59
1192	58
1193	59
1194	58
1195	59
1196	58
1197	59
1198	59
1199	59
1200	59
1201	58
1202	57
1203	57
1204	56
1205	60
1206	59
1207	59
1208	57
1209	59
1210	59
1211	60
1212	60
1213	58
1214	58
1215	58
1216	59
1217	58
1218	57
1219	59
1220	59
1221	59
1222	58
1223	58
1224	57
1225	58
1226	58
1227	59
1228	58
1229	57
1230	57
1231	57
1232	58
1233	59
1234	59
1235	58
1236	57
1237	58
1238	60
1239	59
1240	56
1241	57
1242	58
1243	58
1244	56
1245	58
1246	56
1247	57
1248	57
1249	60
1250	60
1251	60
1252	59
1253	58
1254	57
1255	58
1256	59
1257	59
1258	57
1259	56
1260	56
1261	59
1262	57
1263	59
1264	58
1265	59
1266	59
1267	59
1268	57
1269	57
1270	56
1271	56
1272	55
1273	58
1274	59
1275	57
1276	58
1277	58
1278	56
1279	57
1280	59
1281	59
1282	58
1283	58
1284	58
1285	57
1286	57
1287	58
1288	57
1289	57
1290	56
1291	57
1292	58
1293	57
1294	58
1295	60
1296	57
1297	58
1298	57
1299	58
1300	56
1301	58
1302	60
1303	59
1304	56
1305	57
1306	58
1307	57
1308	56
1309	55
1310	54
1311	57
1312	58
1313	57
1314	56
1315	58
1316	58
1317	57
1318	57
1319	57
1320	57
1321	58
1322	58
1323	60
1324	59
1325	57
1326	58
1327	58
1328	56
1329	57
1330	58
1331	58
1332	56
1333	56
1334	55
1335	57
1336	57
1337	58
1338	56
1339	57
1340	58
1341	59
1342	59
1343	57
1344	55
1345	57
1346	55
1347	57
1348	57
1349	59
1350	56
1351	59
1352	59
1353	60
1354	60
1355	59
1356	60
1357	58
1358	57
1359	60
1360	57
1361	56
1362	56
1363	59
1364	57
1365	56
1366	56
1367	57
1368	56
1369	58
1370	57
1371	58
1372	56
1373	57
1374	57
1375	57
1376	55
1377	56
1378	55
1379	56
1380	56
1381	57
1382	57
1383	59
1384	57
1385	58
1386	59
1387	57
1388	55
1389	58
1390	58
1391	58
1392	58
1393	57
1394	57
1395	58
1396	58
1397	58
1398	57
1399	58
1400	58
1401	59
1402	59
1403	58
1404	58
1405	58
1406	58
1407	57
1408	56
1409	58
1410	58
1411	58
1412	58
1413	58
1414	57
1415	58
1416	58
1417	56
1418	57
1419	58
1420	57
1421	57
1422	55
1423	56
1424	56
1425	58
1426	58
1427	59
1428	60
1429	58
1430	55
1431	55
1432	55
1433	56
1434	57
1435	57
1436	58
1437	56
1438	56
1439	56
