	732.2.tif
	HLine
0	54
1	55
2	55
3	56
4	57
5	56
6	55
7	57
8	56
9	55
10	57
11	55
12	53
13	54
14	55
15	56
16	55
17	56
18	56
19	55
20	56
21	55
22	55
23	55
24	55
25	56
26	55
27	56
28	56
29	56
30	55
31	56
32	55
33	55
34	54
35	54
36	54
37	55
38	55
39	55
40	58
41	56
42	56
43	54
44	56
45	55
46	55
47	55
48	54
49	55
50	55
51	56
52	54
53	55
54	53
55	54
56	55
57	56
58	55
59	56
60	55
61	54
62	55
63	55
64	53
65	56
66	56
67	56
68	55
69	56
70	58
71	56
72	56
73	55
74	51
75	55
76	55
77	55
78	54
79	55
80	54
81	55
82	56
83	56
84	56
85	56
86	55
87	56
88	56
89	57
90	58
91	56
92	55
93	55
94	55
95	56
96	56
97	56
98	56
99	56
100	55
101	55
102	54
103	56
104	59
105	58
106	55
107	56
108	56
109	55
110	54
111	55
112	55
113	55
114	54
115	55
116	56
117	56
118	55
119	56
120	55
121	55
122	54
123	54
124	55
125	56
126	57
127	56
128	57
129	56
130	56
131	56
132	56
133	57
134	56
135	56
136	55
137	56
138	57
139	56
140	56
141	56
142	55
143	56
144	56
145	56
146	56
147	56
148	55
149	55
150	55
151	55
152	55
153	55
154	53
155	55
156	55
157	55
158	54
159	54
160	55
161	55
162	56
163	56
164	55
165	56
166	57
167	56
168	55
169	56
170	55
171	57
172	56
173	56
174	54
175	56
176	54
177	55
178	55
179	56
180	55
181	55
182	55
183	55
184	56
185	56
186	55
187	55
188	54
189	55
190	55
191	56
192	55
193	55
194	54
195	55
196	55
197	56
198	56
199	57
200	55
201	56
202	57
203	58
204	55
205	54
206	55
207	56
208	57
209	56
210	54
211	55
212	56
213	57
214	56
215	56
216	54
217	55
218	56
219	56
220	55
221	55
222	56
223	57
224	56
225	57
226	58
227	57
228	55
229	56
230	58
231	56
232	56
233	57
234	58
235	56
236	56
237	55
238	54
239	56
240	56
241	57
242	56
243	57
244	56
245	57
246	57
247	56
248	56
249	55
250	56
251	57
252	56
253	57
254	56
255	56
256	59
257	57
258	54
259	55
260	55
261	56
262	55
263	56
264	54
265	56
266	56
267	57
268	55
269	55
270	54
271	56
272	56
273	56
274	56
275	56
276	57
277	56
278	58
279	56
280	53
281	56
282	57
283	57
284	55
285	56
286	54
287	56
288	57
289	57
290	56
291	55
292	55
293	55
294	56
295	57
296	57
297	57
298	55
299	56
300	58
301	57
302	57
303	57
304	55
305	57
306	59
307	57
308	58
309	55
310	54
311	56
312	56
313	56
314	56
315	56
316	56
317	56
318	55
319	57
320	57
321	57
322	57
323	56
324	57
325	58
326	58
327	56
328	58
329	58
330	57
331	55
332	56
333	56
334	56
335	56
336	56
337	56
338	55
339	56
340	56
341	57
342	56
343	57
344	56
345	55
346	55
347	56
348	56
349	58
350	57
351	57
352	56
353	56
354	55
355	56
356	57
357	58
358	59
359	57
360	56
361	57
362	57
363	57
364	57
365	58
366	56
367	56
368	56
369	56
370	55
371	55
372	56
373	56
374	56
375	56
376	58
377	57
378	55
379	56
380	55
381	56
382	54
383	56
384	56
385	57
386	57
387	57
388	57
389	57
390	56
391	56
392	56
393	57
394	56
395	58
396	59
397	57
398	56
399	57
400	56
401	57
402	58
403	57
404	54
405	56
406	57
407	58
408	58
409	58
410	59
411	59
412	58
413	60
414	61
415	59
416	56
417	57
418	56
419	58
420	57
421	58
422	56
423	59
424	57
425	59
426	60
427	59
428	56
429	57
430	57
431	57
432	58
433	57
434	56
435	59
436	58
437	59
438	56
439	57
440	57
441	57
442	57
443	58
444	56
445	59
446	60
447	60
448	60
449	59
450	57
451	57
452	56
453	58
454	58
455	60
456	59
457	57
458	57
459	58
460	59
461	58
462	56
463	58
464	57
465	58
466	57
467	58
468	59
469	58
470	60
471	58
472	58
473	58
474	57
475	57
476	57
477	57
478	58
479	57
480	59
481	58
482	56
483	57
484	58
485	59
486	59
487	60
488	56
489	57
490	56
491	57
492	58
493	57
494	58
495	59
496	58
497	59
498	60
499	60
500	58
501	59
502	60
503	59
504	57
505	59
506	59
507	60
508	61
509	60
510	60
511	61
512	60
513	61
514	60
515	60
516	61
517	61
518	60
519	61
520	60
521	61
522	61
523	62
524	61
525	61
526	60
527	62
528	62
529	63
530	59
531	62
532	63
533	63
534	61
535	63
536	64
537	63
538	63
539	62
540	60
541	62
542	63
543	63
544	62
545	64
546	63
547	64
548	66
549	64
550	63
551	64
552	64
553	63
554	62
555	63
556	64
557	64
558	65
559	65
560	64
561	64
562	63
563	65
564	66
565	65
566	64
567	64
568	64
569	66
570	65
571	65
572	66
573	64
574	64
575	64
576	65
577	66
578	66
579	65
580	65
581	65
582	65
583	65
584	66
585	66
586	66
587	66
588	66
589	66
590	67
591	67
592	67
593	66
594	67
595	66
596	67
597	67
598	69
599	69
600	67
601	67
602	66
603	66
604	67
605	68
