	1403.2.tif
378	69
379	69
380	68
381	68
382	68
383	69
384	67
385	67
386	66
387	68
388	68
389	69
390	68
391	70
392	70
393	69
394	69
395	68
396	67
397	68
398	69
399	69
400	69
401	70
402	71
403	71
404	71
405	71
406	69
407	72
408	74
409	75
410	75
411	76
412	78
413	77
414	79
415	79
416	80
417	80
418	82
419	83
420	83
421	84
422	85
423	87
424	88
425	88
426	89
427	90
428	91
429	92
430	93
431	95
432	95
433	96
434	95
435	97
436	100
437	100
438	100
439	98
440	96
441	97
442	99
443	100
444	102
445	103
446	105
447	105
448	108
449	110
450	111
451	110
452	113
453	115
454	116
455	118
456	121
457	122
458	123
459	124
460	125
461	126
462	128
463	128
464	129
465	130
466	132
467	133
468	135
469	136
470	138
471	139
472	139
473	136
474	138
475	139
476	141
477	142
478	143
479	142
480	143
481	144
482	145
483	146
484	143
485	143
486	147
487	150
488	149
489	149
490	148
491	148
492	149
493	150
494	151
495	152
496	152
497	151
498	152
499	152
500	152
501	152
502	152
503	152
504	153
505	155
506	155
507	155
508	153
509	149
510	150
511	151
512	151
513	151
514	151
515	152
516	151
517	149
518	149
519	148
520	148
521	147
522	146
523	144
524	144
525	144
526	142
527	142
528	142
529	141
530	139
531	138
532	139
533	138
534	138
535	137
536	135
537	131
538	130
539	130
540	129
541	127
542	128
543	128
544	127
545	125
546	122
547	120
548	119
549	117
550	117
551	115
552	114
553	112
554	110
555	109
556	107
557	106
558	106
559	104
560	102
561	101
562	101
563	99
564	98
565	96
566	92
567	92
568	95
569	96
570	95
571	94
572	92
573	93
574	93
575	92
576	90
577	90
578	90
579	88
580	86
581	86
582	86
583	85
584	83
585	83
586	83
587	81
588	80
589	80
590	80
591	79
592	77
593	77
594	77
595	76
596	74
597	75
598	74
599	73
600	73
601	73
602	72
603	72
604	72
605	71
606	71
607	70
608	70
609	68
610	69
611	70
612	70
613	70
614	69
615	70
616	68
617	70
618	70
619	69
620	68
621	68
622	68
623	70
624	70
625	70
626	71
627	71
628	72
629	71
630	72
631	72
632	70
633	70
634	71
635	70
636	71
637	72
638	71
639	71
640	71
641	70
642	72
643	72
644	71
645	71
646	71
647	72
648	71
649	71
650	72
651	71
652	72
653	71
654	70
655	70
656	69
657	71
658	71
659	71
660	69
661	70
662	70
663	70
664	70
665	69
666	69
667	70
668	70
669	70
670	68
671	69
672	69
673	70
674	70
675	69
676	70
677	69
678	69
679	69
680	70
681	69
682	71
683	71
684	72
685	70
686	70
687	70
688	71
689	69
690	68
691	70
692	71
693	70
694	69
695	70
696	71
697	71
698	71
699	71
700	70
701	70
702	70
703	70
704	69
705	69
706	70
707	70
708	70
709	70
710	69
711	70
712	71
713	70
714	69
715	70
716	71
717	71
718	71
719	70
720	71
721	71
722	69
723	71
724	72
725	72
726	71
727	71
728	71
729	72
730	72
731	71
732	72
733	71
734	68
735	70
736	70
737	70
738	70
739	71
740	71
741	70
742	70
743	69
744	68
745	69
746	68
747	70
748	69
749	69
750	68
751	69
752	68
753	68
754	68
755	67
756	67
757	68
758	67
759	66
760	66
761	67
762	66
763	66
764	65
765	65
766	65
767	66
768	63
769	64
770	64
771	65
772	64
773	64
774	64
775	65
776	65
777	64
778	62
779	63
780	61
781	61
782	60
783	61
784	63
785	62
786	62
787	63
788	63
789	62
790	60
791	61
792	60
793	61
794	62
795	62
796	62
797	63
798	61
799	61
800	61
801	62
802	62
803	62
804	63
805	62
806	61
807	61
808	59
809	61
810	63
811	61
812	62
813	62
814	62
815	63
816	64
817	64
818	64
819	62
820	61
821	62
822	61
823	62
824	62
825	62
826	61
827	61
828	62
829	62
830	62
831	62
832	62
833	63
834	62
835	62
836	62
837	62
838	62
839	61
840	63
841	62
842	61
843	62
844	63
845	63
846	62
847	63
848	63
849	63
850	62
851	63
852	62
853	62
854	62
855	62
856	62
857	61
858	61
859	62
860	60
861	62
862	62
863	62
864	60
865	62
866	63
867	62
868	61
869	61
870	62
871	60
872	60
873	61
874	61
875	62
876	62
877	61
878	59
879	60
880	59
881	61
882	58
883	61
884	64
885	63
886	60
887	60
888	60
889	61
890	57
891	59
892	59
893	60
894	62
895	62
896	61
897	61
898	61
899	61
900	60
901	61
902	61
903	62
904	62
905	60
906	60
907	60
908	59
909	60
910	60
911	61
912	60
913	62
914	63
915	62
916	62
917	61
918	61
919	62
920	61
921	61
922	62
923	61
924	62
925	61
926	61
927	61
928	61
929	60
930	60
931	59
932	61
933	61
934	60
935	62
936	62
937	60
938	61
939	61
940	61
941	61
942	61
943	61
944	58
945	59
946	60
947	61
948	60
949	61
950	61
951	60
952	60
953	61
954	61
955	61
956	62
957	61
958	60
959	60
960	60
961	61
962	63
963	61
964	59
965	59
966	62
967	61
968	61
969	61
970	61
971	61
972	61
973	61
974	62
975	62
976	62
977	61
978	60
979	60
980	59
981	60
982	60
983	60
984	62
985	61
986	59
987	60
988	60
989	60
990	59
991	59
992	58
993	60
994	60
995	60
996	62
997	61
998	60
999	60
1000	59
1001	60
1002	61
1003	61
1004	59
1005	60
1006	60
1007	61
1008	59
1009	61
1010	61
1011	60
1012	58
1013	60
1014	60
1015	59
1016	60
1017	58
1018	58
1019	61
1020	58
1021	59
1022	60
1023	59
1024	59
1025	59
1026	58
1027	59
1028	59
1029	60
1030	59
1031	59
1032	59
1033	61
1034	59
1035	59
1036	59
1037	60
1038	60
1039	61
1040	59
1041	60
1042	61
1043	59
1044	59
1045	61
1046	61
1047	59
1048	58
1049	60
1050	60
1051	60
1052	58
1053	59
1054	60
1055	60
1056	60
1057	61
1058	60
1059	59
1060	59
1061	60
1062	59
1063	59
1064	59
1065	59
1066	59
1067	60
1068	60
1069	60
1070	60
1071	60
1072	60
1073	59
1074	59
1075	60
1076	60
1077	60
1078	60
1079	59
1080	60
1081	59
1082	60
1083	60
1084	59
1085	60
1086	60
1087	59
1088	60
1089	62
1090	62
1091	61
1092	59
1093	60
1094	61
1095	60
1096	59
1097	60
1098	60
1099	59
1100	59
1101	59
1102	59
1103	58
1104	59
1105	59
1106	60
1107	60
1108	59
1109	60
1110	60
1111	60
1112	60
1113	59
1114	60
1115	60
1116	59
1117	59
1118	60
1119	60
1120	60
1121	60
1122	60
1123	60
1124	63
1125	61
1126	60
1127	59
1128	60
1129	59
1130	57
1131	59
1132	60
1133	59
1134	57
1135	59
1136	60
1137	60
1138	58
1139	59
1140	61
1141	61
1142	61
1143	60
1144	59
1145	60
1146	58
1147	59
1148	60
1149	59
1150	59
1151	60
1152	59
1153	61
1154	62
1155	62
1156	60
1157	59
1158	59
1159	59
1160	59
1161	61
1162	62
1163	61
1164	58
1165	60
1166	59
1167	59
1168	60
1169	61
1170	60
1171	60
1172	59
1173	60
1174	59
1175	59
1176	58
1177	58
1178	59
1179	59
1180	58
1181	59
1182	61
1183	59
1184	59
1185	61
1186	60
1187	59
1188	59
1189	60
1190	58
1191	59
1192	59
1193	60
1194	58
1195	60
1196	59
1197	58
1198	59
1199	60
1200	59
1201	60
1202	60
1203	57
1204	57
1205	59
1206	60
1207	60
1208	60
1209	60
1210	60
1211	60
1212	61
1213	61
1214	60
1215	60
1216	60
1217	61
1218	57
1219	59
1220	60
1221	60
1222	60
1223	59
1224	58
1225	60
1226	58
1227	59
1228	58
1229	59
1230	57
1231	59
1232	62
1233	61
1234	60
1235	59
1236	57
1237	59
1238	58
1239	60
1240	59
1241	59
1242	57
1243	59
1244	56
1245	58
1246	59
1247	59
1248	59
1249	60
1250	57
1251	59
1252	59
1253	59
1254	59
1255	59
1256	60
1257	60
1258	59
1259	59
1260	58
1261	59
1262	59
1263	59
1264	59
1265	59
1266	61
1267	59
1268	59
1269	60
1270	61
1271	59
1272	59
1273	59
1274	58
1275	59
1276	59
1277	60
1278	59
1279	59
1280	59
1281	59
1282	60
1283	60
1284	59
1285	59
1286	59
1287	60
1288	58
1289	58
1290	57
1291	59
1292	60
1293	58
1294	57
1295	59
1296	58
1297	60
1298	58
1299	59
1300	58
1301	57
1302	58
1303	59
1304	62
1305	61
1306	61
1307	60
1308	61
1309	60
1310	60
1311	58
1312	58
1313	58
1314	59
1315	60
1316	60
1317	59
1318	60
1319	59
1320	57
1321	59
1322	57
1323	58
1324	59
1325	60
1326	58
1327	59
1328	57
1329	58
1330	58
1331	59
1332	59
1333	58
1334	58
1335	60
1336	59
1337	59
1338	59
1339	59
1340	57
1341	60
1342	61
1343	59
1344	60
1345	60
1346	58
1347	59
1348	57
1349	59
1350	58
1351	59
1352	62
1353	60
1354	59
1355	58
1356	57
1357	58
1358	59
1359	58
1360	58
1361	58
1362	58
1363	57
1364	56
1365	58
1366	57
1367	59
1368	59
1369	59
1370	58
1371	58
1372	60
1373	59
1374	58
1375	58
1376	58
1377	58
1378	58
1379	59
1380	59
1381	60
1382	59
1383	58
1384	56
1385	58
1386	57
1387	59
1388	59
1389	58
1390	58
1391	60
1392	60
1393	60
1394	59
1395	58
1396	58
1397	60
1398	60
1399	59
1400	58
1401	58
1402	58
1403	58
1404	58
1405	59
1406	59
1407	59
1408	60
1409	59
1410	56
1411	57
1412	57
1413	59
1414	60
1415	58
1416	58
1417	58
1418	57
1419	58
1420	57
1421	59
1422	56
1423	58
1424	59
1425	60
1426	59
1427	59
1428	57
1429	59
1430	60
1431	59
1432	57
1433	58
1434	58
1435	58
1436	58
1437	58
1438	59
1439	58
