	1403.2.tif
	HLine
0	58
1	58
2	58
3	59
4	59
5	60
6	59
7	59
8	61
9	60
10	60
11	60
12	60
13	60
14	61
15	61
16	60
17	60
18	60
19	59
20	60
21	61
22	59
23	60
24	57
25	59
26	59
27	60
28	61
29	61
30	60
31	61
32	62
33	62
34	60
35	60
36	61
37	61
38	60
39	60
40	60
41	59
42	60
43	59
44	61
45	60
46	59
47	61
48	60
49	59
50	58
51	60
52	61
53	60
54	60
55	60
56	60
57	61
58	61
59	60
60	58
61	61
62	60
63	60
64	59
65	59
66	60
67	60
68	59
69	60
70	61
71	60
72	60
73	61
74	60
75	61
76	62
77	61
78	59
79	60
80	60
81	60
82	61
83	61
84	60
85	61
86	60
87	61
88	60
89	60
90	59
91	59
92	62
93	61
94	62
95	60
96	59
97	60
98	59
99	59
100	59
101	60
102	61
103	61
104	62
105	61
106	60
107	60
108	60
109	60
110	59
111	61
112	61
113	61
114	61
115	61
116	60
117	60
118	60
119	60
120	60
121	61
122	61
123	60
124	60
125	61
126	59
127	59
128	60
129	63
130	64
131	59
132	60
133	61
134	62
135	62
136	61
137	62
138	60
139	62
140	64
141	62
142	61
143	63
144	64
145	61
146	60
147	61
148	61
149	62
150	60
151	61
152	61
153	63
154	64
155	64
156	63
157	61
158	61
159	63
160	61
161	62
162	62
163	63
164	60
165	63
166	62
167	62
168	63
169	62
170	60
171	61
172	61
173	61
174	60
175	61
176	60
177	63
178	64
179	62
180	62
181	62
182	62
183	62
184	63
185	63
186	63
187	62
188	61
189	61
190	61
191	62
192	60
193	60
194	61
195	61
196	60
197	60
198	60
199	62
200	61
201	62
202	62
203	60
204	62
205	61
206	61
207	60
208	61
209	60
210	61
211	61
212	61
213	62
214	63
215	62
216	60
217	61
218	61
219	61
220	61
221	61
222	61
223	61
224	62
225	62
226	63
227	62
228	63
229	63
230	61
231	63
232	62
233	63
234	64
235	63
236	62
237	62
238	62
239	64
240	64
241	64
242	62
243	64
244	63
245	64
246	65
247	65
248	64
249	65
250	65
251	66
252	66
253	66
254	67
255	67
256	68
257	67
258	66
259	66
260	65
261	65
262	66
263	67
264	66
265	65
266	67
267	68
268	68
269	67
270	67
271	69
272	68
273	67
274	66
275	67
276	67
277	67
278	67
279	69
280	67
281	69
282	68
283	68
284	68
285	68
286	69
287	68
288	68
289	69
290	69
291	68
292	68
293	69
294	69
295	69
296	69
297	69
298	71
299	71
300	69
301	69
302	69
303	69
304	70
305	70
306	70
307	71
308	71
309	70
310	70
311	70
312	69
313	70
314	70
315	71
316	72
317	71
318	71
319	71
320	72
321	71
322	69
323	71
324	72
325	73
326	72
327	71
328	70
329	71
330	71
331	72
332	73
333	72
334	73
335	73
336	74
337	72
338	72
339	72
340	73
341	72
342	73
343	73
344	72
345	72
346	73
347	73
348	74
349	73
350	74
351	75
352	74
353	72
354	70
355	72
356	73
357	73
358	73
359	72
360	72
361	72
362	71
363	72
364	72
365	73
366	73
367	72
368	71
369	72
370	72
371	71
372	71
373	70
374	71
375	69
376	68
377	70
