	1493.6.tif
	HLine
0	58
1	57
2	55
3	55
4	54
5	55
6	56
7	56
8	55
9	57
10	56
11	56
12	56
13	58
14	57
15	56
16	54
17	57
18	55
19	56
20	56
21	56
22	57
23	55
24	55
25	56
26	57
27	58
28	58
29	58
30	55
31	56
32	56
33	55
34	56
35	57
36	57
37	58
38	57
39	56
40	56
41	57
42	58
43	57
44	58
45	56
46	57
47	58
48	57
49	57
50	58
51	58
52	57
53	57
54	56
55	55
56	55
57	57
58	57
59	58
60	57
61	56
62	58
63	57
64	58
65	57
66	57
67	57
68	58
69	57
70	57
71	57
72	57
73	57
74	58
75	58
76	58
77	57
78	56
79	56
80	55
81	57
82	58
83	57
84	56
85	57
86	56
87	57
88	57
89	58
90	59
91	60
92	59
93	58
94	58
95	57
96	58
97	57
98	56
99	57
100	58
101	58
102	58
103	59
104	59
105	58
106	57
107	58
108	59
109	58
110	59
111	57
112	59
113	59
114	59
115	59
116	59
117	59
118	56
119	56
120	57
121	59
122	60
123	60
124	57
125	59
126	57
127	58
128	56
129	57
130	55
131	59
132	59
133	59
134	60
135	59
136	59
137	59
138	58
139	59
140	58
141	58
142	59
143	58
144	57
145	58
146	59
147	59
148	59
149	59
150	59
151	58
152	58
153	58
154	58
155	58
156	56
157	58
158	57
159	58
160	57
161	57
162	57
163	57
164	57
165	57
166	57
167	57
168	58
169	58
170	57
171	58
172	58
173	58
174	57
175	58
176	60
177	58
178	55
179	58
180	56
181	56
182	56
183	57
184	56
185	58
186	58
187	60
188	62
189	61
190	60
191	60
192	57
193	60
194	61
195	62
196	63
197	61
198	59
199	61
200	60
201	61
202	59
203	59
204	61
205	62
206	60
207	62
208	62
209	61
210	63
211	63
212	62
213	62
214	61
215	62
216	63
217	63
218	63
219	64
220	64
221	64
222	64
223	64
224	65
225	65
226	66
227	66
228	65
229	65
230	65
231	66
232	67
233	67
234	65
235	65
236	64
237	66
238	65
239	67
240	66
241	65
242	65
243	66
244	66
245	66
246	67
247	67
248	66
249	67
250	68
251	67
252	67
253	66
254	66
255	68
256	66
257	66
258	66
259	67
260	67
261	66
262	65
263	65
264	66
265	68
266	69
267	66
268	66
269	67
270	67
271	67
272	66
273	67
274	67
275	66
276	66
277	67
278	66
279	66
280	68
281	67
282	66
283	67
284	67
285	68
286	68
287	67
288	68
289	68
290	68
291	68
292	66
293	67
294	68
295	68
296	68
297	68
298	68
299	68
300	69
301	70
302	69
303	69
304	68
305	69
306	70
307	69
308	70
309	70
310	70
311	69
312	68
313	67
314	67
315	69
316	69
317	69
318	68
319	69
320	68
321	69
322	69
323	69
324	69
325	68
326	69
327	69
328	69
329	69
330	68
331	69
332	70
333	67
334	66
335	67
336	67
337	67
338	66
339	65
340	65
341	65
342	64
343	65
344	63
345	65
346	64
347	64
348	63
349	64
350	63
351	64
352	63
353	62
354	62
355	63
356	62
357	63
358	63
359	64
360	62
361	64
362	62
363	65
364	66
365	66
366	65
367	67
368	67
369	67
370	67
371	68
372	69
373	69
374	70
375	72
376	73
377	74
