	641.9.tif
	HLine
796	132
797	133
798	132
799	131
800	130
801	129
802	130
803	130
804	133
805	134
806	132
807	130
808	133
809	136
810	135
811	133
812	134
813	134
814	134
815	133
816	133
817	131
818	132
819	133
820	133
821	132
822	130
823	127
824	130
825	130
826	130
827	129
828	127
829	127
830	128
831	128
832	126
833	125
834	125
835	123
836	123
837	122
838	121
839	119
840	120
841	119
842	118
843	117
844	116
845	116
846	116
847	115
848	113
849	110
850	111
851	109
852	108
853	105
854	104
855	103
856	103
857	102
858	103
859	101
860	99
861	98
862	95
863	93
864	91
865	92
866	89
867	89
868	88
869	89
870	91
871	89
872	88
873	88
874	90
875	88
876	86
877	86
878	87
879	85
880	83
881	82
882	81
883	81
884	82
885	81
886	79
887	78
888	76
889	76
890	75
891	74
892	72
893	72
894	73
895	72
896	70
897	69
898	68
899	68
900	67
901	67
902	67
903	66
904	63
905	64
906	62
907	62
908	62
909	62
910	61
911	61
912	60
913	61
914	62
915	60
916	60
917	61
918	62
919	61
920	62
921	60
922	61
923	61
924	61
925	61
926	61
927	61
928	60
929	61
930	60
931	61
932	62
933	63
934	64
935	64
936	64
937	64
938	63
939	64
940	65
941	65
942	66
943	64
944	65
945	66
946	64
947	65
948	65
949	66
950	64
951	64
952	65
953	67
954	65
955	66
956	66
957	66
958	65
959	66
960	66
961	66
962	67
963	66
964	66
965	66
966	67
967	67
968	66
969	66
970	64
971	64
972	66
973	66
974	65
975	65
976	66
977	65
978	64
979	65
980	64
981	65
982	64
983	64
984	64
985	64
986	64
987	64
988	64
989	63
990	63
991	63
992	63
993	63
994	62
995	62
996	60
997	61
998	59
999	60
1000	59
1001	60
1002	59
1003	60
1004	58
1005	60
1006	60
1007	60
1008	59
1009	58
1010	57
1011	58
1012	58
1013	58
1014	56
1015	58
1016	56
1017	59
1018	59
1019	58
1020	57
1021	58
1022	58
1023	57
1024	54
1025	56
1026	58
1027	58
1028	57
1029	57
1030	57
1031	58
1032	57
1033	58
1034	58
1035	57
1036	59
1037	58
1038	57
1039	56
1040	56
1041	57
1042	57
1043	58
1044	58
1045	58
1046	56
1047	58
1048	58
1049	57
1050	58
1051	57
1052	54
1053	57
1054	56
1055	58
1056	59
1057	59
1058	58
1059	58
1060	56
1061	57
1062	57
1063	57
1064	56
1065	59
1066	57
1067	58
1068	57
1069	58
1070	57
1071	58
1072	58
1073	57
1074	56
1075	57
1076	56
1077	55
1078	55
1079	56
1080	57
1081	58
1082	57
1083	56
1084	56
1085	57
1086	57
1087	58
1088	57
1089	58
1090	56
1091	56
1092	56
1093	56
1094	55
1095	56
1096	56
1097	56
1098	55
1099	56
1100	57
1101	57
1102	56
1103	56
1104	57
1105	58
1106	58
1107	57
1108	58
1109	58
1110	57
1111	57
1112	54
1113	56
1114	54
1115	56
1116	55
1117	57
1118	57
1119	57
1120	58
1121	58
1122	58
1123	58
1124	56
1125	57
1126	57
1127	57
1128	56
1129	56
1130	56
1131	56
1132	56
1133	57
1134	56
1135	58
1136	56
1137	56
1138	57
1139	58
1140	56
1141	56
1142	57
1143	56
1144	56
1145	57
1146	57
1147	58
1148	56
1149	56
1150	56
1151	56
1152	56
1153	57
1154	57
1155	56
1156	55
1157	56
1158	55
1159	56
1160	55
1161	56
1162	56
1163	56
1164	54
1165	54
1166	54
1167	55
1168	55
1169	57
1170	56
1171	57
1172	54
1173	56
1174	56
1175	56
1176	55
1177	54
1178	55
1179	55
1180	54
1181	56
1182	56
1183	57
1184	58
1185	55
1186	56
1187	57
1188	54
1189	57
1190	56
1191	55
1192	55
1193	54
1194	53
1195	54
1196	55
1197	55
1198	54
1199	55
1200	55
1201	56
1202	54
1203	54
1204	55
1205	55
1206	53
1207	56
1208	55
1209	55
1210	52
1211	55
1212	55
1213	56
1214	58
1215	56
1216	54
1217	55
1218	55
1219	56
1220	56
1221	56
1222	56
1223	57
1224	53
1225	56
1226	57
1227	56
1228	55
1229	55
1230	54
1231	55
1232	54
1233	55
1234	52
1235	55
1236	56
1237	55
1238	54
1239	55
1240	56
1241	56
1242	56
1243	57
1244	55
1245	55
1246	56
1247	54
1248	54
1249	56
1250	56
1251	56
1252	54
1253	55
1254	53
1255	54
1256	56
1257	55
1258	56
1259	54
1260	54
1261	54
1262	52
1263	54
1264	55
1265	55
1266	55
1267	55
1268	56
1269	55
1270	55
1271	55
1272	52
1273	54
1274	52
1275	55
1276	55
1277	54
1278	55
1279	55
1280	55
1281	55
1282	55
1283	54
1284	53
1285	53
1286	54
1287	55
1288	54
1289	55
1290	56
1291	55
1292	56
1293	54
1294	52
1295	54
1296	55
1297	55
1298	54
1299	54
1300	55
1301	55
1302	56
1303	54
1304	53
1305	54
1306	57
1307	54
1308	52
1309	53
1310	52
1311	53
1312	54
1313	54
1314	55
1315	55
1316	54
1317	54
1318	54
1319	55
1320	55
1321	55
1322	56
1323	56
1324	57
1325	54
1326	52
1327	54
1328	55
1329	55
1330	55
1331	56
1332	55
1333	55
1334	53
1335	54
1336	53
1337	54
1338	53
1339	55
1340	56
1341	55
1342	56
1343	55
1344	55
1345	55
1346	56
1347	55
1348	51
1349	54
1350	55
1351	54
1352	54
1353	55
1354	53
1355	53
1356	54
1357	54
1358	55
1359	56
1360	56
1361	54
1362	53
1363	53
1364	51
1365	54
1366	54
1367	54
1368	56
1369	55
1370	55
1371	54
1372	54
1373	53
1374	53
1375	54
1376	54
1377	54
1378	53
1379	54
1380	55
1381	55
1382	54
1383	53
1384	54
1385	54
1386	55
1387	54
1388	54
1389	54
1390	52
1391	53
1392	54
1393	54
1394	54
1395	54
1396	55
1397	55
1398	54
1399	55
1400	56
1401	55
1402	54
1403	54
1404	51
1405	53
1406	54
1407	54
1408	54
1409	55
1410	54
1411	55
1412	53
1413	54
1414	54
1415	53
1416	55
1417	55
1418	55
1419	55
1420	55
1421	54
1422	53
1423	53
1424	54
1425	54
1426	53
1427	53
1428	53
1429	54
1430	54
1431	53
1432	53
1433	53
1434	52
1435	52
1436	52
1437	54
1438	55
1439	54
