	1307.5.tif
	HLine
0	58
1	58
2	58
3	59
4	59
5	59
6	58
7	58
8	60
9	59
10	58
11	58
12	56
13	59
14	60
15	60
16	60
17	59
18	58
19	58
20	58
21	59
22	58
23	59
24	59
25	59
26	57
27	58
28	58
29	60
30	58
31	60
32	61
33	59
34	56
35	57
36	57
37	60
38	59
39	59
40	59
41	60
42	60
43	58
44	59
45	59
46	58
47	59
48	60
49	60
50	57
51	59
52	56
53	58
54	57
55	58
56	58
57	59
58	58
59	59
60	60
61	60
62	60
63	59
64	59
65	59
66	60
67	59
68	57
69	58
70	59
71	60
72	59
73	59
74	59
75	60
76	61
77	60
78	58
79	59
80	59
81	60
82	61
83	61
84	59
85	61
86	61
87	61
88	60
89	60
90	60
91	60
92	59
93	60
94	60
95	60
96	61
97	60
98	59
99	60
100	59
101	58
102	58
103	60
104	59
105	60
106	60
107	61
108	61
109	60
110	60
111	61
112	59
113	59
114	60
115	59
116	58
117	59
118	61
119	60
120	59
121	59
122	61
123	61
124	60
125	59
126	60
127	61
128	61
129	60
130	60
131	61
132	60
133	60
134	60
135	59
136	58
137	60
138	60
139	59
140	59
141	60
142	60
143	60
144	57
145	59
146	60
147	59
148	60
149	59
150	58
151	60
152	61
153	60
154	59
155	59
156	59
157	59
158	60
159	59
160	60
161	60
162	60
163	59
164	60
165	61
166	60
167	60
168	60
169	60
170	61
171	60
172	57
173	60
174	59
175	60
176	58
177	59
178	61
179	61
180	62
181	61
182	60
183	61
184	61
185	62
186	62
187	63
188	62
189	61
190	59
191	61
192	63
193	62
194	62
195	62
196	63
197	63
198	62
199	62
200	62
201	62
202	61
203	62
204	61
205	60
206	60
207	61
208	62
209	62
210	63
211	63
212	61
213	62
214	61
215	60
216	60
217	60
218	59
219	61
220	62
221	60
222	60
223	61
224	63
225	62
226	63
227	61
228	63
229	62
230	63
231	61
232	60
233	60
234	61
235	61
236	60
237	60
238	62
239	60
240	60
241	61
242	63
243	61
244	60
245	60
246	60
247	61
248	59
249	60
250	61
251	62
252	58
253	60
254	60
255	61
256	63
257	61
258	58
259	60
260	62
261	61
262	61
263	61
264	61
265	61
266	62
267	62
268	63
269	62
270	61
271	63
272	64
273	62
274	62
275	62
276	64
277	65
278	67
279	64
280	64
281	64
282	65
283	65
284	64
285	64
286	66
287	65
288	65
289	65
290	64
291	65
292	65
293	66
294	67
295	66
296	65
297	66
298	66
299	67
300	66
301	66
302	66
303	67
304	68
305	68
306	68
307	67
308	67
309	68
310	67
311	69
312	68
313	67
314	68
315	67
316	67
317	69
318	67
319	68
320	71
321	69
322	68
323	69
324	69
325	68
326	68
327	68
328	69
329	69
330	68
331	69
332	71
333	69
334	67
335	69
336	70
337	70
338	67
339	68
340	68
341	69
342	68
343	67
344	68
345	70
346	70
347	69
348	67
349	70
350	68
351	68
352	68
353	69
354	70
355	69
356	69
357	68
358	68
359	69
360	69
361	69
362	69
363	69
364	68
365	69
366	69
367	69
368	70
369	70
370	71
371	71
372	70
373	70
374	71
375	72
376	72
377	71
