Time (s) Run #3	Position (m) Run #3
0,0000	0,1646
0,0250	0,1670
0,0500	0,1695
0,0750	0,1718
0,1000	0,1740
0,1250	0,1756
0,1500	0,1768
0,1750	0,1773
0,2000	0,1772
0,2250	0,1762
0,2500	0,1748
0,2750	0,1729
0,3000	0,1707
0,3250	0,1681
0,3500	0,1655
0,3750	0,1633
0,4000	0,1610
0,4250	0,1595
0,4500	0,1584
0,4750	0,1579
0,5000	0,1581
0,5250	0,1589
0,5500	0,1604
0,5750	0,1623
0,6000	0,1647
0,6250	0,1671
0,6500	0,1697
0,6750	0,1721
0,7000	0,1742
0,7250	0,1758
0,7500	0,1770
0,7750	0,1773
0,8000	0,1772
0,8250	0,1762
0,8500	0,1748
0,8750	0,1727
0,9000	0,1705
0,9250	0,1679
0,9500	0,1653
0,9750	0,1631
1,0000	0,1610
1,0250	0,1593
1,0500	0,1582
1,0750	0,1579
1,1000	0,1582
1,1250	0,1591
1,1500	0,1606
1,1750	0,1625
1,2000	0,1649
1,2250	0,1671
1,2500	0,1699
1,2750	0,1721
1,3000	0,1744
1,3250	0,1758
1,3500	0,1768
1,3750	0,1773
1,4000	0,1770
1,4250	0,1760
1,4500	0,1744
1,4750	0,1724
1,5000	0,1702
1,5250	0,1676
1,5500	0,1652
1,5750	0,1629
1,6000	0,1608
1,6250	0,1593
1,6500	0,1582
1,6750	0,1581
1,7000	0,1584
1,7250	0,1594
1,7500	0,1608
1,7750	0,1628
1,8000	0,1651
1,8250	0,1676
1,8500	0,1702
1,8750	0,1725
1,9000	0,1746
1,9250	0,1759
1,9500	0,1770
1,9750	0,1773
2,0000	0,1768
2,0250	0,1758
2,0500	0,1743
2,0750	0,1722
2,1000	0,1698
2,1250	0,1672
2,1500	0,1648
2,1750	0,1626
2,2000	0,1605
2,2250	0,1591
2,2500	0,1582
2,2750	0,1579
2,3000	0,1582
2,3250	0,1594
2,3500	0,1610
2,3750	0,1630
2,4000	0,1654
2,4250	0,1678
2,4500	0,1704
2,4750	0,1726
2,5000	0,1747
2,5250	0,1761
2,5500	0,1770
2,5750	0,1773
2,6000	0,1768
2,6250	0,1756
2,6500	0,1743
2,6750	0,1720
2,7000	0,1696
2,7250	0,1672
2,7500	0,1646
2,7750	0,1624
2,8000	0,1605
2,8250	0,1589
2,8500	0,1582
2,8750	0,1579
2,9000	0,1584
2,9250	0,1596
2,9500	0,1611
2,9750	0,1632
3,0000	0,1656
3,0250	0,1680
3,0500	0,1706
3,0750	0,1728
3,1000	0,1747
3,1250	0,1761
3,1500	0,1770
3,1750	0,1772
3,2000	0,1767
3,2250	0,1755
3,2500	0,1739
3,2750	0,1717
3,3000	0,1693
3,3250	0,1669
3,3500	0,1645
3,3750	0,1622
3,4000	0,1603
3,4250	0,1589
3,4500	0,1582
3,4750	0,1581
3,5000	0,1586
3,5250	0,1598
3,5500	0,1615
3,5750	0,1635
3,6000	0,1659
3,6250	0,1683
3,6500	0,1709
3,6750	0,1732
3,7000	0,1749
3,7250	0,1763
3,7500	0,1770
3,7750	0,1772
3,8000	0,1765
3,8250	0,1753
3,8500	0,1736
3,8750	0,1715
3,9000	0,1691
3,9250	0,1665
3,9500	0,1640
3,9750	0,1619
4,0000	0,1602
4,0250	0,1588
4,0500	0,1581
4,0750	0,1581
4,1000	0,1586
4,1250	0,1598
4,1500	0,1615
4,1750	0,1637
4,2000	0,1661
4,2250	0,1685
4,2500	0,1709
4,2750	0,1733
4,3000	0,1751
4,3250	0,1765
4,3500	0,1772
4,3750	0,1772
4,4000	0,1765
4,4250	0,1753
4,4500	0,1736
4,4750	0,1714
4,5000	0,1690
4,5250	0,1665
4,5500	0,1640
4,5750	0,1617
4,6000	0,1602
4,6250	0,1588
4,6500	0,1581
4,6750	0,1581
4,7000	0,1587
4,7250	0,1599
4,7500	0,1616
4,7750	0,1639
4,8000	0,1663
4,8250	0,1687
4,8500	0,1711
4,8750	0,1733
4,9000	0,1751
4,9250	0,1763
4,9500	0,1770
4,9750	0,1770
5,0000	0,1763
5,0250	0,1750
5,0500	0,1733
5,0750	0,1708
5,1000	0,1686
5,1250	0,1662
5,1500	0,1638
5,1750	0,1615
5,2000	0,1600
5,2250	0,1588
5,2500	0,1581
5,2750	0,1582
5,3000	0,1589
5,3250	0,1603
5,3500	0,1620
5,3750	0,1642
5,4000	0,1668
5,4250	0,1692
5,4500	0,1716
5,4750	0,1737
5,5000	0,1754
5,5250	0,1766
5,5500	0,1772
5,5750	0,1770
5,6000	0,1762
5,6250	0,1750
5,6500	0,1731
5,6750	0,1708
5,7000	0,1683
5,7250	0,1659
5,7500	0,1634
5,7750	0,1614
5,8000	0,1598
5,8250	0,1586
5,8500	0,1581
5,8750	0,1582
5,9000	0,1589
5,9250	0,1603
5,9500	0,1622
5,9750	0,1644
6,0000	0,1670
6,0250	0,1694
