Time (s) Run #8	Position (m) Run #8
0,0000	0,2068
0,0250	0,2042
0,0500	0,2010
0,0750	0,1974
0,1000	0,1934
0,1250	0,1896
0,1500	0,1858
0,1750	0,1824
0,2000	0,1796
0,2250	0,1775
0,2500	0,1761
0,2750	0,1758
0,3000	0,1763
0,3250	0,1778
0,3500	0,1800
0,3750	0,1828
0,4000	0,1862
0,4250	0,1901
0,4500	0,1941
0,4750	0,1979
0,5000	0,2015
0,5250	0,2046
0,5500	0,2070
0,5750	0,2088
0,6000	0,2095
0,6250	0,2093
0,6500	0,2083
0,6750	0,2065
0,7000	0,2039
0,7250	0,2006
0,7500	0,1970
0,7750	0,1931
0,8000	0,1891
0,8250	0,1855
0,8500	0,1820
0,8750	0,1794
0,9000	0,1774
0,9250	0,1761
0,9500	0,1758
0,9750	0,1764
1,0000	0,1780
1,0250	0,1802
1,0500	0,1833
1,0750	0,1867
1,1000	0,1905
1,1250	0,1944
1,1500	0,1982
1,1750	0,2017
1,2000	0,2048
1,2250	0,2072
1,2500	0,2088
1,2750	0,2095
1,3000	0,2094
1,3250	0,2082
1,3500	0,2063
1,3750	0,2036
1,4000	0,2003
1,4250	0,1967
1,4500	0,1927
1,4750	0,1888
1,5000	0,1851
1,5250	0,1819
1,5500	0,1791
1,5750	0,1772
1,6000	0,1761
1,6250	0,1759
1,6500	0,1766
1,6750	0,1781
1,7000	0,1805
1,7250	0,1836
1,7500	0,1871
1,7750	0,1908
1,8000	0,1948
1,8250	0,1986
1,8500	0,2020
1,8750	0,2050
1,9000	0,2074
1,9250	0,2088
1,9500	0,2095
1,9750	0,2092
2,0000	0,2080
2,0250	0,2059
2,0500	0,2032
2,0750	0,2000
2,1000	0,1962
2,1250	0,1924
2,1500	0,1884
2,1750	0,1848
2,2000	0,1815
2,2250	0,1789
2,2500	0,1772
2,2750	0,1761
2,3000	0,1759
2,3250	0,1768
2,3500	0,1783
2,3750	0,1809
2,4000	0,1840
2,4250	0,1874
2,4500	0,1912
2,4750	0,1951
2,5000	0,1989
2,5250	0,2024
2,5500	0,2053
2,5750	0,2076
2,6000	0,2090
2,6250	0,2095
2,6500	0,2090
2,6750	0,2078
2,7000	0,2058
2,7250	0,2029
2,7500	0,1996
2,7750	0,1958
2,8000	0,1919
2,8250	0,1881
2,8500	0,1845
2,8750	0,1813
2,9000	0,1787
2,9250	0,1770
2,9500	0,1761
2,9750	0,1761
3,0000	0,1770
3,0250	0,1787
3,0500	0,1810
3,0750	0,1843
3,1000	0,1877
3,1250	0,1917
3,1500	0,1955
3,1750	0,1993
3,2000	0,2027
3,2250	0,2055
3,2500	0,2076
3,2750	0,2090
3,3000	0,2093
3,3250	0,2090
3,3500	0,2077
3,3750	0,2054
3,4000	0,2025
3,4250	0,1993
3,4500	0,1955
3,4750	0,1915
3,5000	0,1877
3,5250	0,1841
3,5500	0,1810
3,5750	0,1786
3,6000	0,1770
3,6250	0,1761
3,6500	0,1761
3,6750	0,1771
3,7000	0,1788
3,7250	0,1814
3,7500	0,1845
3,7750	0,1883
3,8000	0,1920
3,8250	0,1960
3,8500	0,1996
3,8750	0,2029
3,9000	0,2057
3,9250	0,2077
3,9500	0,2090
3,9750	0,2093
4,0000	0,2088
4,0250	0,2073
4,0500	0,2051
4,0750	0,2022
4,1000	0,1987
4,1250	0,1951
4,1500	0,1912
4,1750	0,1874
4,2000	0,1839
4,2250	0,1808
4,2500	0,1784
4,2750	0,1768
4,3000	0,1761
4,3250	0,1763
4,3500	0,1773
4,3750	0,1792
4,4000	0,1817
4,4250	0,1850
4,4500	0,1886
4,4750	0,1924
4,5000	0,1963
4,5250	0,2000
4,5500	0,2032
4,5750	0,2060
4,6000	0,2079
4,6250	0,2091
4,6500	0,2093
4,6750	0,2087
4,7000	0,2071
4,7250	0,2049
4,7500	0,2018
4,7750	0,1984
4,8000	0,1946
4,8250	0,1908
4,8500	0,1870
4,8750	0,1836
4,9000	0,1807
4,9250	0,1782
4,9500	0,1768
4,9750	0,1761
5,0000	0,1763
5,0250	0,1775
5,0500	0,1793
5,0750	0,1821
5,1000	0,1853
5,1250	0,1889
5,1500	0,1929
5,1750	0,1967
5,2000	0,2003
5,2250	0,2036
5,2500	0,2062
5,2750	0,2081
5,3000	0,2091
5,3250	0,2093
5,3500	0,2085
5,3750	0,2070
