Time (s) Run #5	Position (m) Run #5
0,0000	0,1783
0,0250	0,1802
0,0500	0,1811
0,0750	0,1811
0,1000	0,1801
0,1250	0,1781
0,1500	0,1753
0,1750	0,1721
0,2000	0,1683
0,2250	0,1643
0,2500	0,1607
0,2750	0,1574
0,3000	0,1547
0,3250	0,1528
0,3500	0,1519
0,3750	0,1519
0,4000	0,1529
0,4250	0,1548
0,4500	0,1575
0,4750	0,1607
0,5000	0,1645
0,5250	0,1683
0,5500	0,1721
0,5750	0,1754
0,6000	0,1782
0,6250	0,1801
0,6500	0,1809
0,6750	0,1810
0,7000	0,1801
0,7250	0,1781
0,7500	0,1753
0,7750	0,1721
0,8000	0,1683
0,8250	0,1645
0,8500	0,1609
0,8750	0,1576
0,9000	0,1548
0,9250	0,1529
0,9500	0,1520
0,9750	0,1520
1,0000	0,1530
1,0250	0,1549
1,0500	0,1575
1,0750	0,1607
1,1000	0,1645
1,1250	0,1683
1,1500	0,1719
1,1750	0,1754
1,2000	0,1780
1,2250	0,1799
1,2500	0,1809
1,2750	0,1810
1,3000	0,1800
1,3250	0,1781
1,3500	0,1753
1,3750	0,1721
1,4000	0,1683
1,4250	0,1645
1,4500	0,1609
1,4750	0,1576
1,5000	0,1548
1,5250	0,1529
1,5500	0,1519
1,5750	0,1520
1,6000	0,1529
1,6250	0,1549
1,6500	0,1575
1,6750	0,1607
1,7000	0,1645
1,7250	0,1683
1,7500	0,1719
1,7750	0,1754
1,8000	0,1780
1,8250	0,1801
1,8500	0,1809
1,8750	0,1810
1,9000	0,1801
1,9250	0,1781
1,9500	0,1755
1,9750	0,1721
2,0000	0,1685
2,0250	0,1647
2,0500	0,1609
2,0750	0,1576
2,1000	0,1548
2,1250	0,1529
2,1500	0,1519
2,1750	0,1519
2,2000	0,1529
2,2250	0,1548
2,2500	0,1573
2,2750	0,1606
2,3000	0,1644
2,3250	0,1681
2,3500	0,1718
2,3750	0,1752
2,4000	0,1778
2,4250	0,1799
2,4500	0,1809
2,4750	0,1810
2,5000	0,1800
2,5250	0,1781
2,5500	0,1755
2,5750	0,1722
2,6000	0,1685
2,6250	0,1647
2,6500	0,1611
2,6750	0,1578
2,7000	0,1550
2,7250	0,1531
2,7500	0,1520
2,7750	0,1520
2,8000	0,1529
2,8250	0,1548
2,8500	0,1575
2,8750	0,1608
2,9000	0,1644
2,9250	0,1681
2,9500	0,1718
2,9750	0,1750
3,0000	0,1778
3,0250	0,1797
3,0500	0,1808
3,0750	0,1808
3,1000	0,1800
3,1250	0,1781
3,1500	0,1753
3,1750	0,1721
3,2000	0,1685
3,2250	0,1647
3,2500	0,1611
3,2750	0,1578
3,3000	0,1550
3,3250	0,1531
3,3500	0,1520
3,3750	0,1520
3,4000	0,1529
3,4250	0,1548
3,4500	0,1573
3,4750	0,1606
3,5000	0,1644
3,5250	0,1681
3,5500	0,1718
3,5750	0,1750
3,6000	0,1778
3,6250	0,1799
3,6500	0,1808
3,6750	0,1810
3,7000	0,1800
3,7250	0,1781
3,7500	0,1755
3,7750	0,1722
3,8000	0,1685
3,8250	0,1647
3,8500	0,1611
3,8750	0,1578
3,9000	0,1550
3,9250	0,1531
3,9500	0,1521
3,9750	0,1519
4,0000	0,1529
4,0250	0,1546
4,0500	0,1573
4,0750	0,1604
4,1000	0,1642
4,1250	0,1680
4,1500	0,1716
4,1750	0,1749
4,2000	0,1776
4,2250	0,1797
4,2500	0,1808
4,2750	0,1808
4,3000	0,1800
4,3250	0,1781
4,3500	0,1755
4,3750	0,1722
4,4000	0,1686
4,4250	0,1648
4,4500	0,1612
4,4750	0,1579
4,5000	0,1552
4,5250	0,1533
4,5500	0,1522
4,5750	0,1522
4,6000	0,1530
4,6250	0,1548
4,6500	0,1573
4,6750	0,1606
4,7000	0,1642
4,7250	0,1680
4,7500	0,1716
4,7750	0,1749
4,8000	0,1776
4,8250	0,1795
4,8500	0,1808
4,8750	0,1808
4,9000	0,1800
4,9250	0,1781
4,9500	0,1755
4,9750	0,1722
5,0000	0,1686
5,0250	0,1648
5,0500	0,1612
5,0750	0,1579
5,1000	0,1552
5,1250	0,1533
5,1500	0,1522
5,1750	0,1520
5,2000	0,1530
5,2250	0,1548
5,2500	0,1573
5,2750	0,1606
5,3000	0,1642
5,3250	0,1680
5,3500	0,1716
5,3750	0,1749
5,4000	0,1776
5,4250	0,1797
5,4500	0,1808
5,4750	0,1808
5,5000	0,1799
5,5250	0,1782
5,5500	0,1757
5,5750	0,1724
5,6000	0,1688
5,6250	0,1650
5,6500	0,1614
5,6750	0,1579
5,7000	0,1554
5,7250	0,1533
5,7500	0,1522
5,7750	0,1520
5,8000	0,1529
5,8250	0,1546
5,8500	0,1571
5,8750	0,1604
5,9000	0,1640
5,9250	0,1678
5,9500	0,1714
5,9750	0,1747
6,0000	0,1775
6,0250	0,1795
6,0500	0,1806
6,0750	0,1808
6,1000	0,1799
6,1250	0,1782
6,1500	0,1757
6,1750	0,1724
6,2000	0,1688
6,2250	0,1652
6,2500	0,1614
6,2750	0,1581
6,3000	0,1555
6,3250	0,1534
6,3500	0,1524
6,3750	0,1522
6,4000	0,1530
6,4250	0,1548
6,4500	0,1573
6,4750	0,1604
6,5000	0,1640
6,5250	0,1678
6,5500	0,1714
6,5750	0,1747
6,6000	0,1775
6,6250	0,1794
6,6500	0,1806
6,6750	0,1808
6,7000	0,1800
6,7250	0,1781
6,7500	0,1755
6,7750	0,1724
6,8000	0,1688
6,8250	0,1650
6,8500	0,1614
6,8750	0,1581
6,9000	0,1554
6,9250	0,1534
6,9500	0,1524
6,9750	0,1522
7,0000	0,1530
7,0250	0,1548
7,0500	0,1573
7,0750	0,1604
7,1000	0,1640
7,1250	0,1678
7,1500	0,1714
7,1750	0,1747
7,2000	0,1775
7,2250	0,1795
7,2500	0,1806
7,2750	0,1808
7,3000	0,1799
7,3250	0,1782
7,3500	0,1757
7,3750	0,1726
7,4000	0,1690
7,4250	0,1652
7,4500	0,1616
7,4750	0,1581
7,5000	0,1554
7,5250	0,1534
7,5500	0,1522
7,5750	0,1520
7,6000	0,1529
7,6250	0,1546
7,6500	0,1572
7,6750	0,1602
7,7000	0,1638
7,7250	0,1676
7,7500	0,1712
7,7750	0,1745
7,8000	0,1773
7,8250	0,1794
7,8500	0,1806
7,8750	0,1808
7,9000	0,1799
7,9250	0,1782
7,9500	0,1757
7,9750	0,1726
8,0000	0,1690
8,0250	0,1654
8,0500	0,1617
8,0750	0,1583
8,1000	0,1557
8,1250	0,1536
8,1500	0,1524
8,1750	0,1522
8,2000	0,1530
8,2250	0,1548
8,2500	0,1572
8,2750	0,1602
8,3000	0,1638
8,3250	0,1676
8,3500	0,1712
8,3750	0,1745
8,4000	0,1773
8,4250	0,1792
8,4500	0,1804
8,4750	0,1806
8,5000	0,1798
8,5250	0,1781
8,5500	0,1757
8,5750	0,1726
8,6000	0,1690
8,6250	0,1652
8,6500	0,1616
8,6750	0,1583
8,7000	0,1555
8,7250	0,1534
8,7500	0,1524
8,7750	0,1522
8,8000	0,1530
8,8250	0,1548
8,8500	0,1571
8,8750	0,1604
8,9000	0,1638
8,9250	0,1676
8,9500	0,1712
8,9750	0,1745
9,0000	0,1773
9,0250	0,1794
9,0500	0,1804
9,0750	0,1806
9,1000	0,1799
9,1250	0,1782
9,1500	0,1757
9,1750	0,1726
9,2000	0,1692
9,2250	0,1654
9,2500	0,1617
9,2750	0,1583
9,3000	0,1555
9,3250	0,1536
9,3500	0,1524
9,3750	0,1522
9,4000	0,1529
9,4250	0,1546
9,4500	0,1570
9,4750	0,1602
9,5000	0,1637
9,5250	0,1675
9,5500	0,1711
9,5750	0,1744
9,6000	0,1771
9,6250	0,1792
9,6500	0,1804
9,6750	0,1806
9,7000	0,1799
9,7250	0,1782
9,7500	0,1758
9,7750	0,1728
9,8000	0,1691
9,8250	0,1655
9,8500	0,1619
9,8750	0,1585
9,9000	0,1559
9,9250	0,1538
9,9500	0,1526
9,9750	0,1524
10,0000	0,1531
10,0250	0,1546
10,0500	0,1572
10,0750	0,1602
10,1000	0,1637
10,1250	0,1673
10,1500	0,1709
10,1750	0,1744
10,2000	0,1771
10,2250	0,1790
10,2500	0,1802
10,2750	0,1806
10,3000	0,1798
10,3250	0,1782
10,3500	0,1757
10,3750	0,1726
10,4000	0,1692
10,4250	0,1654
10,4500	0,1617
10,4750	0,1585
10,5000	0,1557
10,5250	0,1536
10,5500	0,1526
10,5750	0,1524
10,6000	0,1531
10,6250	0,1546
