Time (s) Run #9	Position (m) Run #9
0,0000	0,1966
0,0250	0,1956
0,0500	0,1949
0,0750	0,1950
0,1000	0,1959
0,1250	0,1971
0,1500	0,1990
0,1750	0,2012
0,2000	0,2036
0,2250	0,2062
0,2500	0,2088
0,2750	0,2110
0,3000	0,2129
0,3250	0,2145
0,3500	0,2153
0,3750	0,2157
0,4000	0,2154
0,4250	0,2145
0,4500	0,2130
0,4750	0,2111
0,5000	0,2087
0,5250	0,2063
0,5500	0,2037
0,5750	0,2013
0,6000	0,1990
0,6250	0,1971
0,6500	0,1959
0,6750	0,1950
0,7000	0,1950
0,7250	0,1955
0,7500	0,1966
0,7750	0,1983
0,8000	0,2003
0,8250	0,2026
0,8500	0,2051
0,8750	0,2077
0,9000	0,2101
0,9250	0,2122
0,9500	0,2139
0,9750	0,2150
1,0000	0,2155
1,0250	0,2155
1,0500	0,2149
1,0750	0,2135
1,1000	0,2118
1,1250	0,2096
1,1500	0,2072
1,1750	0,2046
1,2000	0,2022
1,2250	0,1997
1,2500	0,1978
1,2750	0,1963
1,3000	0,1954
1,3250	0,1950
1,3500	0,1952
1,3750	0,1962
1,4000	0,1976
1,4250	0,1995
1,4500	0,2019
1,4750	0,2043
1,5000	0,2069
1,5250	0,2093
1,5500	0,2115
1,5750	0,2132
1,6000	0,2146
1,6250	0,2153
1,6500	0,2155
1,6750	0,2150
1,7000	0,2140
1,7250	0,2123
1,7500	0,2104
1,7750	0,2080
1,8000	0,2054
1,8250	0,2030
1,8500	0,2006
1,8750	0,1985
1,9000	0,1968
1,9250	0,1956
1,9500	0,1950
1,9750	0,1950
2,0000	0,1959
2,0250	0,1971
2,0500	0,1988
2,0750	0,2010
2,1000	0,2034
2,1250	0,2058
2,1500	0,2084
2,1750	0,2106
2,2000	0,2127
2,2250	0,2143
2,2500	0,2152
2,2750	0,2157
2,3000	0,2154
2,3250	0,2145
2,3500	0,2132
2,3750	0,2111
2,4000	0,2089
2,4250	0,2065
2,4500	0,2039
2,4750	0,2015
2,5000	0,1992
2,5250	0,1973
2,5500	0,1959
2,5750	0,1952
2,6000	0,1950
2,6250	0,1955
2,6500	0,1966
2,6750	0,1981
2,7000	0,2002
2,7250	0,2024
2,7500	0,2050
2,7750	0,2074
2,8000	0,2098
2,8250	0,2120
2,8500	0,2136
2,8750	0,2148
2,9000	0,2155
2,9250	0,2155
2,9500	0,2149
2,9750	0,2137
3,0000	0,2118
3,0250	0,2097
3,0500	0,2073
3,0750	0,2049
3,1000	0,2023
3,1250	0,2001
3,1500	0,1980
3,1750	0,1964
3,2000	0,1954
3,2250	0,1950
3,2500	0,1952
3,2750	0,1960
3,3000	0,1974
3,3250	0,1993
3,3500	0,2015
3,3750	0,2039
3,4000	0,2065
3,4250	0,2089
3,4500	0,2112
3,4750	0,2131
3,5000	0,2145
3,5250	0,2153
3,5500	0,2155
3,5750	0,2150
3,6000	0,2140
3,6250	0,2125
3,6500	0,2106
3,6750	0,2082
3,7000	0,2058
3,7250	0,2032
3,7500	0,2008
3,7750	0,1987
3,8000	0,1970
3,8250	0,1957
3,8500	0,1952
3,8750	0,1952
3,9000	0,1957
3,9250	0,1969
3,9500	0,1986
3,9750	0,2008
4,0000	0,2031
4,0250	0,2057
4,0500	0,2082
4,0750	0,2105
4,1000	0,2126
4,1250	0,2141
4,1500	0,2150
4,1750	0,2155
4,2000	0,2154
4,2250	0,2145
4,2500	0,2132
4,2750	0,2113
4,3000	0,2090
4,3250	0,2066
4,3500	0,2040
4,3750	0,2016
4,4000	0,1994
4,4250	0,1975
4,4500	0,1961
4,4750	0,1952
4,5000	0,1950
4,5250	0,1955
4,5500	0,1964
4,5750	0,1979
4,6000	0,2000
4,6250	0,2022
4,6500	0,2048
4,6750	0,2072
4,7000	0,2096
4,7250	0,2117
4,7500	0,2134
4,7750	0,2148
4,8000	0,2153
4,8250	0,2154
4,8500	0,2149
4,8750	0,2137
4,9000	0,2120
4,9250	0,2099
4,9500	0,2075
4,9750	0,2051
5,0000	0,2025
5,0250	0,2003
5,0500	0,1982
5,0750	0,1966
5,1000	0,1956
5,1250	0,1950
5,1500	0,1952
5,1750	0,1960
5,2000	0,1974
5,2250	0,1991
5,2500	0,2014
5,2750	0,2038
5,3000	0,2063
5,3250	0,2088
5,3500	0,2110
5,3750	0,2129
5,4000	0,2143
5,4250	0,2152
5,4500	0,2154
5,4750	0,2150
5,5000	0,2142
5,5250	0,2126
5,5500	0,2106
5,5750	0,2084
5,6000	0,2059
5,6250	0,2034
5,6500	0,2011
5,6750	0,1989
5,7000	0,1971
5,7250	0,1959
5,7500	0,1952
5,7750	0,1952
5,8000	0,1957
5,8250	0,1969
5,8500	0,1984
5,8750	0,2005
5,9000	0,2029
5,9250	0,2055
5,9500	0,2079
5,9750	0,2103
6,0000	0,2122
6,0250	0,2138
6,0500	0,2148
6,0750	0,2153
6,1000	0,2152
6,1250	0,2145
6,1500	0,2132
6,1750	0,2114
6,2000	0,2092
6,2250	0,2068
6,2500	0,2042
6,2750	0,2018
6,3000	0,1996
6,3250	0,1977
6,3500	0,1963
6,3750	0,1954
6,4000	0,1952
6,4250	0,1955
6,4500	0,1964
6,4750	0,1979
6,5000	0,1998
6,5250	0,2020
6,5500	0,2044
6,5750	0,2070
6,6000	0,2094
6,6250	0,2115
6,6500	0,2133
6,6750	0,2145
6,7000	0,2152
6,7250	0,2154
6,7500	0,2149
6,7750	0,2137
6,8000	0,2121
6,8250	0,2101
6,8500	0,2077
6,8750	0,2053
6,9000	0,2027
6,9250	0,2004
