Time (s) Run #10	Position (m) Run #10
0,0000	0,2305
0,0250	0,2310
0,0500	0,2308
0,0750	0,2300
0,1000	0,2283
0,1250	0,2261
0,1500	0,2235
0,1750	0,2206
0,2000	0,2158
0,2250	0,2127
0,2500	0,2101
0,2750	0,2078
0,3000	0,2061
0,3250	0,2050
0,3500	0,2047
0,3750	0,2052
0,4000	0,2062
0,4250	0,2081
0,4500	0,2103
0,4750	0,2130
0,5000	0,2161
0,5250	0,2209
0,5500	0,2239
0,5750	0,2265
0,6000	0,2285
0,6250	0,2301
0,6500	0,2310
0,6750	0,2310
0,7000	0,2303
0,7250	0,2290
0,7500	0,2271
0,7750	0,2245
0,8000	0,2218
0,8250	0,2187
0,8500	0,2139
0,8750	0,2111
0,9000	0,2085
0,9250	0,2066
0,9500	0,2054
0,9750	0,2047
1,0000	0,2048
1,0250	0,2057
1,0500	0,2072
1,0750	0,2094
1,1000	0,2120
1,1250	0,2149
1,1500	0,2180
1,1750	0,2228
1,2000	0,2254
1,2250	0,2277
1,2500	0,2296
1,2750	0,2306
1,3000	0,2310
1,3250	0,2307
1,3500	0,2295
1,3750	0,2278
1,4000	0,2256
1,4250	0,2228
1,4500	0,2199
1,4750	0,2149
1,5000	0,2121
1,5250	0,2094
1,5500	0,2073
1,5750	0,2057
1,6000	0,2050
1,6250	0,2048
1,6500	0,2053
1,6750	0,2067
1,7000	0,2086
1,7250	0,2110
1,7500	0,2139
1,7750	0,2168
1,8000	0,2216
1,8250	0,2244
1,8500	0,2270
1,8750	0,2289
1,9000	0,2303
1,9250	0,2308
1,9500	0,2307
1,9750	0,2300
2,0000	0,2283
2,0250	0,2262
2,0500	0,2237
2,0750	0,2210
2,1000	0,2159
2,1250	0,2130
2,1500	0,2102
2,1750	0,2080
2,2000	0,2063
2,2250	0,2052
2,2500	0,2048
2,2750	0,2052
2,3000	0,2062
2,3250	0,2079
2,3500	0,2101
2,3750	0,2129
2,4000	0,2157
2,4250	0,2206
2,4500	0,2235
2,4750	0,2261
2,5000	0,2282
2,5250	0,2299
2,5500	0,2308
2,5750	0,2310
2,6000	0,2303
2,6250	0,2292
2,6500	0,2271
2,6750	0,2247
2,7000	0,2220
2,7250	0,2171
2,7500	0,2140
2,7750	0,2113
2,8000	0,2089
2,8250	0,2068
2,8500	0,2056
2,8750	0,2049
2,9000	0,2048
2,9250	0,2057
2,9500	0,2072
2,9750	0,2093
3,0000	0,2117
3,0250	0,2146
3,0500	0,2176
3,0750	0,2225
3,1000	0,2253
3,1250	0,2275
3,1500	0,2294
3,1750	0,2305
3,2000	0,2310
3,2250	0,2307
3,2500	0,2297
3,2750	0,2280
3,3000	0,2257
3,3250	0,2230
3,3500	0,2201
3,3750	0,2152
3,4000	0,2123
3,4250	0,2097
3,4500	0,2076
3,4750	0,2059
3,5000	0,2050
3,5250	0,2048
3,5500	0,2053
3,5750	0,2067
3,6000	0,2084
3,6250	0,2108
3,6500	0,2136
3,6750	0,2164
3,7000	0,2215
3,7250	0,2242
3,7500	0,2266
3,7750	0,2287
3,8000	0,2301
3,8250	0,2308
3,8500	0,2307
3,8750	0,2300
3,9000	0,2285
3,9250	0,2264
3,9500	0,2240
3,9750	0,2211
4,0000	0,2163
4,0250	0,2133
4,0500	0,2106
4,0750	0,2083
4,1000	0,2064
4,1250	0,2054
4,1500	0,2048
4,1750	0,2052
4,2000	0,2062
4,2250	0,2077
4,2500	0,2099
4,2750	0,2127
4,3000	0,2154
4,3250	0,2204
4,3500	0,2234
4,3750	0,2260
4,4000	0,2280
4,4250	0,2298
4,4500	0,2306
4,4750	0,2308
4,5000	0,2303
4,5250	0,2292
4,5500	0,2273
4,5750	0,2249
4,6000	0,2221
4,6250	0,2193
4,6500	0,2144
4,6750	0,2116
4,7000	0,2090
4,7250	0,2069
4,7500	0,2057
4,7750	0,2048
4,8000	0,2050
4,8250	0,2057
4,8500	0,2070
4,8750	0,2091
4,9000	0,2115
4,9250	0,2144
4,9500	0,2173
4,9750	0,2222
5,0000	0,2249
5,0250	0,2273
5,0500	0,2291
5,0750	0,2303
5,1000	0,2308
5,1250	0,2307
5,1500	0,2297
5,1750	0,2280
5,2000	0,2259
5,2250	0,2233
5,2500	0,2204
5,2750	0,2175
5,3000	0,2127
5,3250	0,2101
5,3500	0,2078
5,3750	0,2061
5,4000	0,2052
5,4250	0,2048
5,4500	0,2053
5,4750	0,2065
5,5000	0,2084
5,5250	0,2106
5,5500	0,2134
5,5750	0,2163
5,6000	0,2192
5,6250	0,2239
5,6500	0,2265
5,6750	0,2284
5,7000	0,2299
5,7250	0,2307
5,7500	0,2307
5,7750	0,2300
5,8000	0,2286
5,8250	0,2266
5,8500	0,2242
5,8750	0,2213
5,9000	0,2168
5,9250	0,2135
5,9500	0,2109
5,9750	0,2085
6,0000	0,2066
6,0250	0,2056
6,0500	0,2050
6,0750	0,2052
6,1000	0,2060
6,1250	0,2077
6,1500	0,2098
6,1750	0,2123
6,2000	0,2152
6,2250	0,2201
6,2500	0,2230
6,2750	0,2256
6,3000	0,2279
6,3250	0,2294
6,3500	0,2305
6,3750	0,2308
6,4000	0,2303
6,4250	0,2291
6,4500	0,2274
6,4750	0,2250
6,5000	0,2225
6,5250	0,2196
6,5500	0,2146
6,5750	0,2118
6,6000	0,2094
6,6250	0,2073
6,6500	0,2057
6,6750	0,2050
6,7000	0,2050
6,7250	0,2057
6,7500	0,2070
6,7750	0,2089
6,8000	0,2113
6,8250	0,2141
6,8500	0,2171
6,8750	0,2220
6,9000	0,2246
6,9250	0,2270
6,9500	0,2289
6,9750	0,2301
7,0000	0,2307
7,0250	0,2307
7,0500	0,2297
7,0750	0,2281
7,1000	0,2261
7,1250	0,2235
7,1500	0,2206
7,1750	0,2177
7,2000	0,2128
7,2250	0,2102
7,2500	0,2080
7,2750	0,2064
7,3000	0,2054
7,3250	0,2050
7,3500	0,2053
7,3750	0,2065
7,4000	0,2082
7,4250	0,2105
7,4500	0,2130
7,4750	0,2160
7,5000	0,2188
7,5250	0,2237
7,5500	0,2261
7,5750	0,2282
7,6000	0,2298
7,6250	0,2305
7,6500	0,2307
7,6750	0,2300
7,7000	0,2286
7,7250	0,2268
7,7500	0,2244
7,7750	0,2217
7,8000	0,2168
7,8250	0,2139
7,8500	0,2111
7,8750	0,2089
7,9000	0,2069
7,9250	0,2057
7,9500	0,2050
7,9750	0,2052
8,0000	0,2060
8,0250	0,2076
8,0500	0,2096
8,0750	0,2122
8,1000	0,2149
8,1250	0,2199
8,1500	0,2227
8,1750	0,2254
8,2000	0,2275
8,2250	0,2292
8,2500	0,2303
8,2750	0,2307
8,3000	0,2303
8,3250	0,2293
8,3500	0,2274
8,3750	0,2252
8,4000	0,2226
8,4250	0,2198
8,4500	0,2149
8,4750	0,2121
8,5000	0,2095
8,5250	0,2075
8,5500	0,2059
8,5750	0,2052
8,6000	0,2050
8,6250	0,2057
8,6500	0,2069
8,6750	0,2087
8,7000	0,2111
8,7250	0,2139
8,7500	0,2168
8,7750	0,2216
8,8000	0,2244
8,8250	0,2268
8,8500	0,2287
8,8750	0,2299
8,9000	0,2307
8,9250	0,2305
8,9500	0,2297
8,9750	0,2283
9,0000	0,2262
9,0250	0,2237
9,0500	0,2209
9,0750	0,2180
9,1000	0,2132
9,1250	0,2106
9,1500	0,2083
9,1750	0,2066
9,2000	0,2054
9,2250	0,2050
9,2500	0,2053
9,2750	0,2064
9,3000	0,2081
9,3250	0,2103
9,3500	0,2129
9,3750	0,2158
9,4000	0,2185
9,4250	0,2234
9,4500	0,2260
9,4750	0,2280
9,5000	0,2294
9,5250	0,2303
9,5500	0,2305
9,5750	0,2300
9,6000	0,2288
9,6250	0,2269
9,6500	0,2245
9,6750	0,2218
9,7000	0,2191
9,7250	0,2142
9,7500	0,2114
9,7750	0,2090
9,8000	0,2071
9,8250	0,2057
9,8500	0,2052
9,8750	0,2052
9,9000	0,2060
9,9250	0,2076
9,9500	0,2094
9,9750	0,2120
10,0000	0,2147
10,0250	0,2196
10,0500	0,2225
10,0750	0,2251
10,1000	0,2273
10,1250	0,2291
10,1500	0,2301
10,1750	0,2307
10,2000	0,2303
10,2250	0,2293
10,2500	0,2276
10,2750	0,2254
10,3000	0,2228
10,3250	0,2201
10,3500	0,2151
10,3750	0,2123
10,4000	0,2097
10,4250	0,2076
10,4500	0,2061
10,4750	0,2054
10,5000	0,2050
