Time (s) Run #4	Position (m) Run #4
0,0000	0,1756
0,0250	0,1770
0,0500	0,1775
0,0750	0,1773
0,1000	0,1765
0,1250	0,1748
0,1500	0,1727
0,1750	0,1702
0,2000	0,1674
0,2250	0,1645
0,2500	0,1617
0,2750	0,1593
0,3000	0,1574
0,3250	0,1562
0,3500	0,1557
0,3750	0,1556
0,4000	0,1567
0,4250	0,1582
0,4500	0,1603
0,4750	0,1630
0,5000	0,1658
0,5250	0,1685
0,5500	0,1713
0,5750	0,1737
0,6000	0,1756
0,6250	0,1768
0,6500	0,1775
0,6750	0,1774
0,7000	0,1763
0,7250	0,1748
0,7500	0,1727
0,7750	0,1702
0,8000	0,1672
0,8250	0,1645
0,8500	0,1617
0,8750	0,1593
0,9000	0,1574
0,9250	0,1562
0,9500	0,1557
0,9750	0,1558
1,0000	0,1567
1,0250	0,1582
1,0500	0,1604
1,0750	0,1630
1,1000	0,1658
1,1250	0,1685
1,1500	0,1713
1,1750	0,1737
1,2000	0,1756
1,2250	0,1770
1,2500	0,1775
1,2750	0,1774
1,3000	0,1763
1,3250	0,1748
1,3500	0,1727
1,3750	0,1702
1,4000	0,1672
1,4250	0,1643
1,4500	0,1617
1,4750	0,1593
1,5000	0,1574
1,5250	0,1562
1,5500	0,1555
1,5750	0,1556
1,6000	0,1567
1,6250	0,1582
1,6500	0,1604
1,6750	0,1630
1,7000	0,1658
1,7250	0,1685
1,7500	0,1713
1,7750	0,1737
1,8000	0,1756
1,8250	0,1770
1,8500	0,1775
1,8750	0,1774
1,9000	0,1763
1,9250	0,1748
1,9500	0,1727
1,9750	0,1702
2,0000	0,1672
2,0250	0,1643
2,0500	0,1617
2,0750	0,1593
2,1000	0,1574
2,1250	0,1562
2,1500	0,1557
2,1750	0,1558
2,2000	0,1567
2,2250	0,1584
2,2500	0,1604
2,2750	0,1630
2,3000	0,1658
2,3250	0,1687
2,3500	0,1713
2,3750	0,1737
2,4000	0,1756
2,4250	0,1768
2,4500	0,1773
2,4750	0,1772
2,5000	0,1763
2,5250	0,1746
2,5500	0,1726
2,5750	0,1700
2,6000	0,1671
2,6250	0,1643
2,6500	0,1616
2,6750	0,1593
2,7000	0,1574
2,7250	0,1562
2,7500	0,1557
2,7750	0,1558
2,8000	0,1568
2,8250	0,1584
2,8500	0,1604
2,8750	0,1632
2,9000	0,1659
2,9250	0,1687
2,9500	0,1714
2,9750	0,1737
3,0000	0,1756
3,0250	0,1768
3,0500	0,1775
3,0750	0,1772
3,1000	0,1763
3,1250	0,1746
3,1500	0,1726
3,1750	0,1700
3,2000	0,1671
3,2250	0,1643
3,2500	0,1617
3,2750	0,1593
3,3000	0,1574
3,3250	0,1562
3,3500	0,1557
3,3750	0,1558
3,4000	0,1567
3,4250	0,1584
3,4500	0,1604
3,4750	0,1630
3,5000	0,1658
3,5250	0,1687
3,5500	0,1713
3,5750	0,1737
3,6000	0,1756
3,6250	0,1768
3,6500	0,1773
3,6750	0,1772
3,7000	0,1763
3,7250	0,1746
3,7500	0,1726
3,7750	0,1700
3,8000	0,1671
3,8250	0,1643
3,8500	0,1617
3,8750	0,1593
3,9000	0,1574
3,9250	0,1562
3,9500	0,1557
3,9750	0,1560
4,0000	0,1568
4,0250	0,1584
4,0500	0,1606
4,0750	0,1632
4,1000	0,1659
4,1250	0,1687
4,1500	0,1714
4,1750	0,1737
4,2000	0,1756
4,2250	0,1768
4,2500	0,1773
4,2750	0,1772
4,3000	0,1762
4,3250	0,1746
4,3500	0,1724
4,3750	0,1698
4,4000	0,1671
4,4250	0,1643
4,4500	0,1616
4,4750	0,1593
4,5000	0,1574
4,5250	0,1562
4,5500	0,1557
4,5750	0,1558
4,6000	0,1568
4,6250	0,1585
4,6500	0,1606
4,6750	0,1632
4,7000	0,1659
4,7250	0,1689
4,7500	0,1714
4,7750	0,1739
4,8000	0,1756
4,8250	0,1768
4,8500	0,1773
4,8750	0,1772
4,9000	0,1762
4,9250	0,1746
4,9500	0,1724
4,9750	0,1700
5,0000	0,1671
5,0250	0,1643
5,0500	0,1616
5,0750	0,1593
5,1000	0,1574
5,1250	0,1562
5,1500	0,1557
5,1750	0,1558
5,2000	0,1568
5,2250	0,1584
5,2500	0,1606
5,2750	0,1632
5,3000	0,1659
5,3250	0,1687
5,3500	0,1714
5,3750	0,1737
5,4000	0,1756
5,4250	0,1768
5,4500	0,1773
5,4750	0,1772
5,5000	0,1762
5,5250	0,1746
5,5500	0,1724
5,5750	0,1700
5,6000	0,1671
5,6250	0,1643
5,6500	0,1616
5,6750	0,1593
5,7000	0,1576
5,7250	0,1564
5,7500	0,1558
5,7750	0,1560
5,8000	0,1570
5,8250	0,1585
5,8500	0,1606
5,8750	0,1632
5,9000	0,1659
5,9250	0,1687
5,9500	0,1714
5,9750	0,1737
6,0000	0,1756
6,0250	0,1768
6,0500	0,1773
6,0750	0,1770
6,1000	0,1760
6,1250	0,1745
6,1500	0,1722
