Time (s) Run #15	Position (m) Run #15
0,0000	0,2170
0,0250	0,2199
0,0500	0,2223
0,0750	0,2243
0,1000	0,2257
0,1250	0,2262
0,1500	0,2260
0,1750	0,2250
0,2000	0,2233
0,2250	0,2211
0,2500	0,2183
0,2750	0,2153
0,3000	0,2099
0,3250	0,2067
0,3500	0,2034
0,3750	0,2004
0,4000	0,1978
0,4250	0,1959
0,4500	0,1947
0,4750	0,1942
0,5000	0,1943
0,5250	0,1954
0,5500	0,1969
0,5750	0,1991
0,6000	0,2019
0,6250	0,2049
0,6500	0,2084
0,6750	0,2117
0,7000	0,2149
0,7250	0,2198
0,7500	0,2223
0,7750	0,2243
0,8000	0,2255
0,8250	0,2262
0,8500	0,2259
0,8750	0,2250
0,9000	0,2233
0,9250	0,2211
0,9500	0,2183
0,9750	0,2153
1,0000	0,2101
1,0250	0,2067
1,0500	0,2034
1,0750	0,2004
1,1000	0,1980
1,1250	0,1959
1,1500	0,1947
1,1750	0,1942
1,2000	0,1943
1,2250	0,1952
1,2500	0,1967
1,2750	0,1989
1,3000	0,2019
1,3250	0,2049
1,3500	0,2082
1,3750	0,2115
1,4000	0,2149
1,4250	0,2198
1,4500	0,2222
1,4750	0,2243
1,5000	0,2255
1,5250	0,2262
1,5500	0,2260
1,5750	0,2250
1,6000	0,2235
1,6250	0,2213
1,6500	0,2185
1,6750	0,2155
1,7000	0,2103
1,7250	0,2068
1,7500	0,2035
1,7750	0,2006
1,8000	0,1980
1,8250	0,1961
1,8500	0,1947
1,8750	0,1942
1,9000	0,1943
1,9250	0,1952
1,9500	0,1967
1,9750	0,1989
2,0000	0,2015
2,0250	0,2046
2,0500	0,2080
2,0750	0,2113
2,1000	0,2145
2,1250	0,2196
2,1500	0,2220
2,1750	0,2241
2,2000	0,2255
2,2250	0,2260
2,2500	0,2260
2,2750	0,2252
2,3000	0,2237
2,3250	0,2214
2,3500	0,2187
2,3750	0,2156
2,4000	0,2104
2,4250	0,2072
2,4500	0,2039
2,4750	0,2008
2,5000	0,1984
2,5250	0,1963
2,5500	0,1949
2,5750	0,1942
2,6000	0,1943
2,6250	0,1952
2,6500	0,1967
2,6750	0,1988
2,7000	0,2015
2,7250	0,2046
2,7500	0,2079
2,7750	0,2111
2,8000	0,2144
2,8250	0,2192
2,8500	0,2218
2,8750	0,2239
2,9000	0,2253
2,9250	0,2260
2,9500	0,2259
2,9750	0,2250
3,0000	0,2237
3,0250	0,2214
3,0500	0,2187
3,0750	0,2158
3,1000	0,2106
