Time (s) Run #14	Position (m) Run #14
0,0000	0,2177
0,0250	0,2125
0,0500	0,2092
0,0750	0,2060
0,1000	0,2029
0,1250	0,1999
0,1500	0,1973
0,1750	0,1954
0,2000	0,1942
0,2250	0,1937
0,2500	0,1938
0,2750	0,1947
0,3000	0,1964
0,3250	0,1984
0,3500	0,2012
0,3750	0,2043
0,4000	0,2075
0,4250	0,2108
0,4500	0,2140
0,4750	0,2189
0,5000	0,2213
0,5250	0,2234
0,5500	0,2246
0,5750	0,2253
0,6000	0,2252
0,6250	0,2243
0,6500	0,2228
0,6750	0,2206
0,7000	0,2180
0,7250	0,2150
0,7500	0,2098
0,7750	0,2063
0,8000	0,2032
0,8250	0,2003
0,8500	0,1977
0,8750	0,1958
0,9000	0,1944
0,9250	0,1937
0,9500	0,1938
0,9750	0,1947
1,0000	0,1962
1,0250	0,1983
1,0500	0,2008
1,0750	0,2039
1,1000	0,2072
1,1250	0,2104
1,1500	0,2137
1,1750	0,2185
1,2000	0,2211
1,2250	0,2230
1,2500	0,2244
1,2750	0,2251
1,3000	0,2252
1,3250	0,2243
1,3500	0,2230
1,3750	0,2207
1,4000	0,2182
1,4250	0,2153
1,4500	0,2101
1,4750	0,2068
1,5000	0,2035
1,5250	0,2006
1,5500	0,1980
1,5750	0,1959
1,6000	0,1945
1,6250	0,1938
1,6500	0,1938
1,6750	0,1945
1,7000	0,1960
1,7250	0,1981
1,7500	0,2007
1,7750	0,2036
1,8000	0,2068
1,8250	0,2101
1,8500	0,2133
1,8750	0,2182
1,9000	0,2208
1,9250	0,2229
1,9500	0,2243
1,9750	0,2251
2,0000	0,2252
2,0250	0,2245
2,0500	0,2231
2,0750	0,2211
2,1000	0,2185
2,1250	0,2156
2,1500	0,2104
2,1750	0,2072
2,2000	0,2039
2,2250	0,2008
2,2500	0,1982
2,2750	0,1961
2,3000	0,1947
2,3250	0,1938
2,3500	0,1938
2,3750	0,1945
2,4000	0,1959
2,4250	0,1977
2,4500	0,2003
2,4750	0,2032
2,5000	0,2063
2,5250	0,2098
2,5500	0,2130
2,5750	0,2179
2,6000	0,2204
2,6250	0,2227
2,6500	0,2243
2,6750	0,2250
2,7000	0,2252
2,7250	0,2245
2,7500	0,2233
2,7750	0,2213
2,8000	0,2189
2,8250	0,2160
2,8500	0,2108
2,8750	0,2075
2,9000	0,2042
2,9250	0,2013
2,9500	0,1985
2,9750	0,1965
3,0000	0,1949
3,0250	0,1940
3,0500	0,1938
3,0750	0,1943
3,1000	0,1957
3,1250	0,1976
3,1500	0,2000
3,1750	0,2029
3,2000	0,2060
3,2250	0,2092
3,2500	0,2125
3,2750	0,2156
3,3000	0,2203
3,3250	0,2224
3,3500	0,2241
3,3750	0,2250
3,4000	0,2252
3,4250	0,2247
3,4500	0,2235
3,4750	0,2216
3,5000	0,2190
3,5250	0,2163
3,5500	0,2111
3,5750	0,2079
3,6000	0,2046
3,6250	0,2016
3,6500	0,1989
3,6750	0,1966
3,7000	0,1951
3,7250	0,1940
3,7500	0,1938
3,7750	0,1943
3,8000	0,1955
3,8250	0,1974
3,8500	0,1998
3,8750	0,2025
3,9000	0,2056
3,9250	0,2089
3,9500	0,2122
3,9750	0,2152
4,0000	0,2199
4,0250	0,2222
4,0500	0,2239
4,0750	0,2248
4,1000	0,2252
4,1250	0,2247
4,1500	0,2235
4,1750	0,2218
4,2000	0,2194
4,2250	0,2147
4,2500	0,2115
4,2750	0,2082
4,3000	0,2049
4,3250	0,2018
4,3500	0,1992
4,3750	0,1968
4,4000	0,1952
4,4250	0,1942
4,4500	0,1938
4,4750	0,1943
4,5000	0,1953
4,5250	0,1972
4,5500	0,1995
4,5750	0,2022
4,6000	0,2055
4,6250	0,2086
4,6500	0,2118
4,6750	0,2149
4,7000	0,2196
4,7250	0,2220
4,7500	0,2237
4,7750	0,2248
4,8000	0,2252
4,8250	0,2247
4,8500	0,2236
4,8750	0,2219
4,9000	0,2196
4,9250	0,2151
4,9500	0,2118
4,9750	0,2085
5,0000	0,2053
5,0250	0,2022
5,0500	0,1994
5,0750	0,1972
5,1000	0,1954
5,1250	0,1942
5,1500	0,1938
5,1750	0,1942
5,2000	0,1952
5,2250	0,1969
5,2500	0,1991
5,2750	0,2019
5,3000	0,2049
5,3250	0,2082
5,3500	0,2115
5,3750	0,2145
5,4000	0,2192
5,4250	0,2217
5,4500	0,2234
5,4750	0,2246
5,5000	0,2250
5,5250	0,2248
5,5500	0,2238
5,5750	0,2221
5,6000	0,2199
5,6250	0,2152
5,6500	0,2122
5,6750	0,2089
5,7000	0,2058
5,7250	0,2025
5,7500	0,1997
5,7750	0,1973
5,8000	0,1956
